method,metric,mean,ci_low,ci_high,n_stations
Bandpass,d_cov_gain_vs_identity,-0.0030739700350208322,-0.01028522814824685,0.0026699479114712455,34
Bandpass,theta_reduction_vs_identity,-0.4044962961806796,-1.6582232436865134,0.6585480830166781,34
Wiener_blind,d_cov_gain_vs_identity,0.0033312434587966424,-0.004032208778764168,0.011434895582878265,34
Wiener_blind,theta_reduction_vs_identity,0.6257934074609904,-0.4618181445326989,1.661432881074305,34
Wiener_oracle,d_cov_gain_vs_identity,-0.01895002076066331,-0.04531157761356095,0.005529600319339513,34
Wiener_oracle,theta_reduction_vs_identity,-0.4114841242204373,-3.6612978300817534,2.674025661596909,34
p01_e07,d_cov_gain_vs_identity,-0.03829226298226342,-0.0469879633223454,-0.03015113822489694,34
p01_e07,theta_reduction_vs_identity,-5.2623924148387395,-6.528582813346058,-4.040006720137081,34
p05_e16,d_cov_gain_vs_identity,-0.03829960466951854,-0.04764822354063655,-0.029380744252308817,34
p05_e16,theta_reduction_vs_identity,-5.289701601147137,-6.771406656334962,-3.9004365202747544,34
p0_e06,d_cov_gain_vs_identity,-0.05555209245906257,-0.0669562118104729,-0.044354179186329015,34
p0_e06,theta_reduction_vs_identity,-6.361570573208055,-7.9489726261309,-4.718194739542558,34
