case_id,event_template,station_template,noise_files,station_noise,onset_s,target_snr_db
1,AM.R0BD5.event.20260411T225413.mseed,R0BD5,AM.RC131.noise.20250606T153000.mseed;AM.R8219.noise.20250604T004815.mseed;AM.RA825.noise.20250606T004041.mseed,RC131,59.53,-5.0
2,AM.R0BD5.event.20260411T225413.mseed,R0BD5,AM.RC131.noise.20250606T153000.mseed;AM.R8219.noise.20250604T004815.mseed;AM.RA825.noise.20250606T004041.mseed,RC131,59.53,0.0
3,AM.R0BD5.event.20260411T225413.mseed,R0BD5,AM.RC131.noise.20250606T153000.mseed;AM.R8219.noise.20250604T004815.mseed;AM.RA825.noise.20250606T004041.mseed,RC131,59.53,5.0
4,AM.R0BD5.event.20260412T035354.mseed,R0BD5,AM.RC131.noise.20250605T100724.mseed;AM.RCBF0.noise.20250604T041225.mseed;AM.R7813.noise.20250606T160341.mseed,RC131,28.27,-5.0
5,AM.R0BD5.event.20260412T035354.mseed,R0BD5,AM.RC131.noise.20250605T100724.mseed;AM.RCBF0.noise.20250604T041225.mseed;AM.R7813.noise.20250606T160341.mseed,RC131,28.27,0.0
6,AM.R0BD5.event.20260412T035354.mseed,R0BD5,AM.RC131.noise.20250605T100724.mseed;AM.RCBF0.noise.20250604T041225.mseed;AM.R7813.noise.20250606T160341.mseed,RC131,28.27,5.0
7,AM.R0BD5.event.20260414T210629.mseed,R0BD5,AM.RCCE6.noise.20250902T172254.mseed;AM.RD349.noise.20250603T222341.mseed;AM.R663D.noise.20250807T000025.mseed,RCCE6,18.76,-5.0
8,AM.R0BD5.event.20260414T210629.mseed,R0BD5,AM.RCCE6.noise.20250902T172254.mseed;AM.RD349.noise.20250603T222341.mseed;AM.R663D.noise.20250807T000025.mseed,RCCE6,18.76,0.0
9,AM.R0BD5.event.20260414T210629.mseed,R0BD5,AM.RCCE6.noise.20250902T172254.mseed;AM.RD349.noise.20250603T222341.mseed;AM.R663D.noise.20250807T000025.mseed,RCCE6,18.76,5.0
10,AM.R0BD5.event.20260418T212920.mseed,R0BD5,AM.R2004.noise.20250609T031408.mseed;AM.R24AE.noise.20250607T091120.mseed;AM.RAB7F.noise.20250625T194145.mseed,R2004,19.65,-5.0
11,AM.R0BD5.event.20260418T212920.mseed,R0BD5,AM.R2004.noise.20250609T031408.mseed;AM.R24AE.noise.20250607T091120.mseed;AM.RAB7F.noise.20250625T194145.mseed,R2004,19.65,0.0
12,AM.R0BD5.event.20260418T212920.mseed,R0BD5,AM.R2004.noise.20250609T031408.mseed;AM.R24AE.noise.20250607T091120.mseed;AM.RAB7F.noise.20250625T194145.mseed,R2004,19.65,5.0
13,AM.R0BD5.event.20260429T063054.mseed,R0BD5,AM.R7813.noise.20250602T143144.mseed;AM.RB0FB.noise.20250601T062741.mseed;AM.RA825.noise.20250610T083409.mseed,R7813,60.05,-5.0
14,AM.R0BD5.event.20260429T063054.mseed,R0BD5,AM.R7813.noise.20250602T143144.mseed;AM.RB0FB.noise.20250601T062741.mseed;AM.RA825.noise.20250610T083409.mseed,R7813,60.05,0.0
15,AM.R0BD5.event.20260429T063054.mseed,R0BD5,AM.R7813.noise.20250602T143144.mseed;AM.RB0FB.noise.20250601T062741.mseed;AM.RA825.noise.20250610T083409.mseed,R7813,60.05,5.0
16,AM.R0BD5.event.20260509T091124.mseed,R0BD5,AM.R87FD.noise.20250601T062741.mseed;AM.R8D8E.noise.20250828T072911.mseed;AM.RC2BF.noise.20250606T153000.mseed,R87FD,42.76,-5.0
17,AM.R0BD5.event.20260509T091124.mseed,R0BD5,AM.R87FD.noise.20250601T062741.mseed;AM.R8D8E.noise.20250828T072911.mseed;AM.RC2BF.noise.20250606T153000.mseed,R87FD,42.76,0.0
18,AM.R0BD5.event.20260509T091124.mseed,R0BD5,AM.R87FD.noise.20250601T062741.mseed;AM.R8D8E.noise.20250828T072911.mseed;AM.RC2BF.noise.20250606T153000.mseed,R87FD,42.76,5.0
19,AM.R0BD5.event.20260522T171811.mseed,R0BD5,AM.RAB7F.noise.20250626T053355.mseed;AM.R7813.noise.20250604T172830.mseed;AM.RCBF0.noise.20250603T193222.mseed,RAB7F,61.51,-5.0
20,AM.R0BD5.event.20260522T171811.mseed,R0BD5,AM.RAB7F.noise.20250626T053355.mseed;AM.R7813.noise.20250604T172830.mseed;AM.RCBF0.noise.20250603T193222.mseed,RAB7F,61.51,0.0
21,AM.R0BD5.event.20260522T171811.mseed,R0BD5,AM.RAB7F.noise.20250626T053355.mseed;AM.R7813.noise.20250604T172830.mseed;AM.RCBF0.noise.20250603T193222.mseed,RAB7F,61.51,5.0
22,AM.R0BD5.event.20260526T140804.mseed,R0BD5,AM.R2004.noise.20250607T144418.mseed;AM.RB0FB.noise.20250607T235259.mseed;AM.R663D.noise.20250731T191055.mseed,R2004,44.63,-5.0
23,AM.R0BD5.event.20260526T140804.mseed,R0BD5,AM.R2004.noise.20250607T144418.mseed;AM.RB0FB.noise.20250607T235259.mseed;AM.R663D.noise.20250731T191055.mseed,R2004,44.63,0.0
24,AM.R0BD5.event.20260526T140804.mseed,R0BD5,AM.R2004.noise.20250607T144418.mseed;AM.RB0FB.noise.20250607T235259.mseed;AM.R663D.noise.20250731T191055.mseed,R2004,44.63,5.0
25,AM.R0ECF.event.20260120T072950.mseed,R0ECF,AM.R0ECF.noise.20250603T222341.mseed;AM.R0ECF.noise.20250607T232927.mseed;AM.R0ECF.noise.20250605T125804.mseed,R0ECF,19.38,-5.0
26,AM.R0ECF.event.20260120T072950.mseed,R0ECF,AM.R0ECF.noise.20250603T222341.mseed;AM.R0ECF.noise.20250607T232927.mseed;AM.R0ECF.noise.20250605T125804.mseed,R0ECF,19.38,0.0
27,AM.R0ECF.event.20260120T072950.mseed,R0ECF,AM.R0ECF.noise.20250603T222341.mseed;AM.R0ECF.noise.20250607T232927.mseed;AM.R0ECF.noise.20250605T125804.mseed,R0ECF,19.38,5.0
28,AM.R0ECF.event.20260208T120425.mseed,R0ECF,AM.R0ECF.noise.20250610T222213.mseed;AM.R0ECF.noise.20250604T004815.mseed;AM.R0ECF.noise.20250602T143144.mseed,R0ECF,54.12,-5.0
29,AM.R0ECF.event.20260208T120425.mseed,R0ECF,AM.R0ECF.noise.20250610T222213.mseed;AM.R0ECF.noise.20250604T004815.mseed;AM.R0ECF.noise.20250602T143144.mseed,R0ECF,54.12,0.0
30,AM.R0ECF.event.20260208T120425.mseed,R0ECF,AM.R0ECF.noise.20250610T222213.mseed;AM.R0ECF.noise.20250604T004815.mseed;AM.R0ECF.noise.20250602T143144.mseed,R0ECF,54.12,5.0
31,AM.R0ECF.event.20260223T052156.mseed,R0ECF,AM.R0ECF.noise.20250603T130111.mseed;AM.R0ECF.noise.20250606T025835.mseed;AM.R0ECF.noise.20250609T171646.mseed,R0ECF,35.17,-5.0
32,AM.R0ECF.event.20260223T052156.mseed,R0ECF,AM.R0ECF.noise.20250603T130111.mseed;AM.R0ECF.noise.20250606T025835.mseed;AM.R0ECF.noise.20250609T171646.mseed,R0ECF,35.17,0.0
33,AM.R0ECF.event.20260223T052156.mseed,R0ECF,AM.R0ECF.noise.20250603T130111.mseed;AM.R0ECF.noise.20250606T025835.mseed;AM.R0ECF.noise.20250609T171646.mseed,R0ECF,35.17,5.0
34,AM.R0ECF.event.20260317T043241.mseed,R0ECF,AM.R0ECF.noise.20250602T143144.mseed;AM.R0ECF.noise.20250605T125804.mseed;AM.R0ECF.noise.20250604T203205.mseed,R0ECF,60.22,-5.0
35,AM.R0ECF.event.20260317T043241.mseed,R0ECF,AM.R0ECF.noise.20250602T143144.mseed;AM.R0ECF.noise.20250605T125804.mseed;AM.R0ECF.noise.20250604T203205.mseed,R0ECF,60.22,0.0
36,AM.R0ECF.event.20260317T043241.mseed,R0ECF,AM.R0ECF.noise.20250602T143144.mseed;AM.R0ECF.noise.20250605T125804.mseed;AM.R0ECF.noise.20250604T203205.mseed,R0ECF,60.22,5.0
37,AM.R0ECF.event.20260326T143155.mseed,R0ECF,AM.R0ECF.noise.20250604T041225.mseed;AM.R0ECF.noise.20250601T005852.mseed;AM.R0ECF.noise.20250603T222341.mseed,R0ECF,36.35,-5.0
38,AM.R0ECF.event.20260326T143155.mseed,R0ECF,AM.R0ECF.noise.20250604T041225.mseed;AM.R0ECF.noise.20250601T005852.mseed;AM.R0ECF.noise.20250603T222341.mseed,R0ECF,36.35,0.0
