case_id,event_template,station_template,noise_files,station_noise,onset_s,target_snr_db,method,background_suppression_db,output_vs_clean_snr,amp_ratio_clean,lag_s,corr_z
1,AM.R0BD5.event.20260411T225413.mseed,R0BD5,AM.RC131.noise.20250606T153000.mseed;AM.R8219.noise.20250604T004815.mseed;AM.RA825.noise.20250606T004041.mseed,RC131,59.53,-5.0,Noisy,-5.4002338126984245e-14,-4.999999792660964,1.981371768433955,0.0,0.466682350158169
1,AM.R0BD5.event.20260411T225413.mseed,R0BD5,AM.RC131.noise.20250606T153000.mseed;AM.R8219.noise.20250604T004815.mseed;AM.RA825.noise.20250606T004041.mseed,RC131,59.53,-5.0,Bandpass,0.540435102038878,-4.9213599537077295,2.0171413820867405,0.0,0.4694272319698457
1,AM.R0BD5.event.20260411T225413.mseed,R0BD5,AM.RC131.noise.20250606T153000.mseed;AM.R8219.noise.20250604T004815.mseed;AM.RA825.noise.20250606T004041.mseed,RC131,59.53,-5.0,Wiener_blind,0.6070597008403573,-4.78680102005973,1.9022825791401916,0.0,0.4657239362075924
1,AM.R0BD5.event.20260411T225413.mseed,R0BD5,AM.RC131.noise.20250606T153000.mseed;AM.R8219.noise.20250604T004815.mseed;AM.RA825.noise.20250606T004041.mseed,RC131,59.53,-5.0,Wiener_oracle,17.78700400430142,1.3963479318497165,0.4268673635075275,0.0,0.5397776951309012
1,AM.R0BD5.event.20260411T225413.mseed,R0BD5,AM.RC131.noise.20250606T153000.mseed;AM.R8219.noise.20250604T004815.mseed;AM.RA825.noise.20250606T004041.mseed,RC131,59.53,-5.0,p0_e06,6.554782972030802,-1.327371737166392,1.0420530378229345,0.01,0.3111609489272733
1,AM.R0BD5.event.20260411T225413.mseed,R0BD5,AM.RC131.noise.20250606T153000.mseed;AM.R8219.noise.20250604T004815.mseed;AM.RA825.noise.20250606T004041.mseed,RC131,59.53,-5.0,p01_e07,6.390703366173479,-1.1908899838926865,1.274027854468314,0.0,0.3063413467770737
1,AM.R0BD5.event.20260411T225413.mseed,R0BD5,AM.RC131.noise.20250606T153000.mseed;AM.R8219.noise.20250604T004815.mseed;AM.RA825.noise.20250606T004041.mseed,RC131,59.53,-5.0,p05_e16,5.696699024972769,-1.5027706981144093,1.45843124990014,0.01,0.29897647072673367
2,AM.R0BD5.event.20260411T225413.mseed,R0BD5,AM.RC131.noise.20250606T153000.mseed;AM.R8219.noise.20250604T004815.mseed;AM.RA825.noise.20250606T004041.mseed,RC131,59.53,0.0,Noisy,-9.546841918877594e-14,1.0466108421383258e-07,1.3138719246098471,0.0,0.674080348324659
2,AM.R0BD5.event.20260411T225413.mseed,R0BD5,AM.RC131.noise.20250606T153000.mseed;AM.R8219.noise.20250604T004815.mseed;AM.RA825.noise.20250606T004041.mseed,RC131,59.53,0.0,Bandpass,0.5404391077680345,0.07359858919700431,1.3135854383900831,0.0,0.6765975338941997
2,AM.R0BD5.event.20260411T225413.mseed,R0BD5,AM.RC131.noise.20250606T153000.mseed;AM.R8219.noise.20250604T004815.mseed;AM.RA825.noise.20250606T004041.mseed,RC131,59.53,0.0,Wiener_blind,0.5786387422874951,0.17470269403421862,1.3182270899404238,0.0,0.6735118095514414
