method,metric,n_stations,mean,ci_low,ci_high
N2V point,clean_snr_gain,34,0.15751150595435431,0.07245583527318192,0.24666335630628547
N2V point,corr_delta,34,-0.004625137424541872,-0.006896520625888119,-0.0026032987829632767
N2V point,amp_delta,34,0.020676925242682054,-0.024682902318097336,0.08104365231950887
N2V point,background_suppression_delta,34,0.2529851457131399,0.0661395233781437,0.4774788405005224
N2V sync,clean_snr_gain,34,0.018604444878045582,-0.06353420062065489,0.11198913743943856
N2V sync,corr_delta,34,-0.0026556339018653304,-0.004639637959479179,-0.0008331416214532601
N2V sync,amp_delta,34,0.029733075794586068,-0.0033928761274068936,0.05790735609893351
N2V sync,background_suppression_delta,34,0.14030060911289455,-0.07841513440159545,0.3916034356487857
CovNorm lambda=0,clean_snr_gain,34,-0.020819700944987342,-0.09476675547038894,0.06089197864960052
CovNorm lambda=0,corr_delta,34,-0.2910672749844001,-0.3143046065024713,-0.26809887076362654
CovNorm lambda=0,amp_delta,34,-0.9050647056730612,-1.0194870141570576,-0.8084745177300185
CovNorm lambda=0,background_suppression_delta,34,5.874759071760863,5.523742123795431,6.225504088078812
CovNorm lambda=0.1,clean_snr_gain,34,-0.15623315719253653,-0.2322742444396579,-0.07722378478693316
CovNorm lambda=0.1,corr_delta,34,-0.3041699941275016,-0.32816071955912446,-0.2808381946142894
CovNorm lambda=0.1,amp_delta,34,-0.8926632212996854,-1.0073740079455569,-0.7945403129219544
CovNorm lambda=0.1,background_suppression_delta,34,5.733298423486978,5.42578713619098,6.043618152340488
CovNorm lambda=0.5,clean_snr_gain,34,-0.23316279183809613,-0.32195247721429976,-0.15113451262163008
CovNorm lambda=0.5,corr_delta,34,-0.31589311603153253,-0.34071775302190077,-0.29310095894358945
CovNorm lambda=0.5,amp_delta,34,-0.8934327493821297,-1.044980983492002,-0.7753711178065925
CovNorm lambda=0.5,background_suppression_delta,34,5.751355765515859,5.436358529101408,6.0910173641064596
DeepDenoiser,clean_snr_gain,34,1.359759577976487,1.1319581174685287,1.603598607020418
DeepDenoiser,corr_delta,34,-0.06647956033881434,-0.09614146118549544,-0.03563465894629814
DeepDenoiser,amp_delta,34,-1.6940868495049595,-2.0241480689178415,-1.43275509553738
DeepDenoiser,background_suppression_delta,34,21.519355366747373,19.973644632085705,23.163057393257592
Wiener-blind,clean_snr_gain,34,1.7559393380254833,1.5220794911405602,1.9952519480254174
Wiener-blind,corr_delta,34,-0.0018266964436639186,-0.01079014898601455,0.006757011614199405
Wiener-blind,amp_delta,34,-0.5138610828828616,-0.6353138772611817,-0.4078517361786637
Wiener-blind,background_suppression_delta,34,2.217515596458738,1.8160057651507207,2.6193191796942625
