group,station_noise,method,metric,station_mean
A,R17EF,Bandpass,output_vs_clean_snr,0.1692274618573851
A,R1A27,Bandpass,output_vs_clean_snr,0.007178044422564025
A,R28BA,Bandpass,output_vs_clean_snr,0.6144429778646759
A,R36D4,Bandpass,output_vs_clean_snr,-0.0727864071334839
A,R3AE5,Bandpass,output_vs_clean_snr,0.07667994044296685
A,R4017,Bandpass,output_vs_clean_snr,0.001699528758814883
A,R68A5,Bandpass,output_vs_clean_snr,0.4448942632211523
A,R6DB9,Bandpass,output_vs_clean_snr,2.4132185052647377
A,R74A7,Bandpass,output_vs_clean_snr,-0.23482353414487764
A,R7805,Bandpass,output_vs_clean_snr,0.1736371366886239
A,R81A1,Bandpass,output_vs_clean_snr,0.3145008867483817
A,R8B57,Bandpass,output_vs_clean_snr,4.73417325884088
A,R9634,Bandpass,output_vs_clean_snr,0.020393585985937154
A,RD4CB,Bandpass,output_vs_clean_snr,-0.03216570172999202
A,S941D,Bandpass,output_vs_clean_snr,0.49630606885713946
B,R0ECF,Bandpass,output_vs_clean_snr,1.2694174961419706
B,R2004,Bandpass,output_vs_clean_snr,0.10108402574873333
B,R24AE,Bandpass,output_vs_clean_snr,0.043720344432300585
B,R3B66,Bandpass,output_vs_clean_snr,0.9252861169613872
B,R4DE2,Bandpass,output_vs_clean_snr,0.8966496135009271
B,R53B7,Bandpass,output_vs_clean_snr,0.9358517335327304
B,R5C4C,Bandpass,output_vs_clean_snr,0.0647375883067125
B,R663D,Bandpass,output_vs_clean_snr,0.17674173188662654
B,R686A,Bandpass,output_vs_clean_snr,0.127916530871911
B,R6928,Bandpass,output_vs_clean_snr,0.1569035020781737
B,R77C3,Bandpass,output_vs_clean_snr,0.702031014405344
B,R7813,Bandpass,output_vs_clean_snr,0.08467591425517436
B,R7BF6,Bandpass,output_vs_clean_snr,0.1812544434644321
B,R81CF,Bandpass,output_vs_clean_snr,0.8940235543784539
B,R8219,Bandpass,output_vs_clean_snr,0.15945114342476954
B,R87FD,Bandpass,output_vs_clean_snr,0.39885573583585343
B,R8A9B,Bandpass,output_vs_clean_snr,0.6910593559052058
B,R8D8E,Bandpass,output_vs_clean_snr,0.10332314055276497
B,R92E0,Bandpass,output_vs_clean_snr,0.35944263048209374
B,R976A,Bandpass,output_vs_clean_snr,0.14243564999894076
B,R985F,Bandpass,output_vs_clean_snr,0.31152535994222247
B,R9F13,Bandpass,output_vs_clean_snr,0.11486312550967433
B,RA825,Bandpass,output_vs_clean_snr,0.45528919116368227
B,RAB7F,Bandpass,output_vs_clean_snr,0.09328016357866886
B,RAC20,Bandpass,output_vs_clean_snr,1.0016953500802293
B,RB0FB,Bandpass,output_vs_clean_snr,0.014835656386831013
B,RB53D,Bandpass,output_vs_clean_snr,0.10549210110137473
B,RC131,Bandpass,output_vs_clean_snr,0.40658391094668456
B,RC2BF,Bandpass,output_vs_clean_snr,0.6551513525368625
B,RCBF0,Bandpass,output_vs_clean_snr,0.12275567056371896
B,RCCE6,Bandpass,output_vs_clean_snr,0.5413964253652019
B,RD349,Bandpass,output_vs_clean_snr,0.11294901150183063
B,RE8DB,Bandpass,output_vs_clean_snr,0.12008615824364306
A,R17EF,Bandpass,amp_ratio_clean,1.4379741403094508
A,R1A27,Bandpass,amp_ratio_clean,1.4274119138717651
A,R28BA,Bandpass,amp_ratio_clean,1.7616058974354356
A,R36D4,Bandpass,amp_ratio_clean,1.2002469290185858
A,R3AE5,Bandpass,amp_ratio_clean,1.273037404925735
A,R4017,Bandpass,amp_ratio_clean,3.588627618772012
A,R68A5,Bandpass,amp_ratio_clean,2.6202326637727245
A,R6DB9,Bandpass,amp_ratio_clean,2.904931022061242
A,R74A7,Bandpass,amp_ratio_clean,1.9186525830516108
A,R7805,Bandpass,amp_ratio_clean,2.5001687341266208
A,R81A1,Bandpass,amp_ratio_clean,2.2664465959425324
A,R8B57,Bandpass,amp_ratio_clean,2.1156087076222456
A,R9634,Bandpass,amp_ratio_clean,1.7403638230429754
A,RD4CB,Bandpass,amp_ratio_clean,1.6608921101799718
A,S941D,Bandpass,amp_ratio_clean,1.2809589748029355
B,R0ECF,Bandpass,amp_ratio_clean,1.380582680304845
B,R2004,Bandpass,amp_ratio_clean,1.63389386733373
B,R24AE,Bandpass,amp_ratio_clean,1.5589156399170558
B,R3B66,Bandpass,amp_ratio_clean,1.1997036188840866
B,R4DE2,Bandpass,amp_ratio_clean,1.6916042044758797
B,R53B7,Bandpass,amp_ratio_clean,2.7911574095487595
B,R5C4C,Bandpass,amp_ratio_clean,1.4022619128227234
B,R663D,Bandpass,amp_ratio_clean,1.581107144554456
B,R686A,Bandpass,amp_ratio_clean,1.9261305034160614
B,R6928,Bandpass,amp_ratio_clean,1.275090791285038
B,R77C3,Bandpass,amp_ratio_clean,1.3827200358112652
B,R7813,Bandpass,amp_ratio_clean,1.7308247795811407
B,R7BF6,Bandpass,amp_ratio_clean,1.6561763162414234
B,R81CF,Bandpass,amp_ratio_clean,2.7867321322361627
B,R8219,Bandpass,amp_ratio_clean,1.894084299604098
B,R87FD,Bandpass,amp_ratio_clean,1.6187576011375144
B,R8A9B,Bandpass,amp_ratio_clean,5.362768630186717
B,R8D8E,Bandpass,amp_ratio_clean,1.2555345545212429
B,R92E0,Bandpass,amp_ratio_clean,1.3068604071935017
B,R976A,Bandpass,amp_ratio_clean,1.5277945200602214
B,R985F,Bandpass,amp_ratio_clean,3.7273919781049094
B,R9F13,Bandpass,amp_ratio_clean,1.3255832915504773
B,RA825,Bandpass,amp_ratio_clean,1.7917800446351368
B,RAB7F,Bandpass,amp_ratio_clean,1.6901660981001678
B,RAC20,Bandpass,amp_ratio_clean,1.6664325147867203
B,RB0FB,Bandpass,amp_ratio_clean,1.2912657062212627
B,RB53D,Bandpass,amp_ratio_clean,1.3891612788041432
B,RC131,Bandpass,amp_ratio_clean,1.4160357773303986
B,RC2BF,Bandpass,amp_ratio_clean,1.6279423957069714
B,RCBF0,Bandpass,amp_ratio_clean,2.683400643368562
B,RCCE6,Bandpass,amp_ratio_clean,1.32215009353779
B,RD349,Bandpass,amp_ratio_clean,1.9183694024880726
B,RE8DB,Bandpass,amp_ratio_clean,1.088972767194112
A,R17EF,Bandpass,corr_z,0.7943960302640558
A,R1A27,Bandpass,corr_z,0.7443083793829297
A,R28BA,Bandpass,corr_z,0.6788258028963712
A,R36D4,Bandpass,corr_z,0.8486218008932395
A,R3AE5,Bandpass,corr_z,0.882884425021153
A,R4017,Bandpass,corr_z,0.5300098708296832
A,R68A5,Bandpass,corr_z,0.7201167101599757
A,R6DB9,Bandpass,corr_z,0.6332534937618787
A,R74A7,Bandpass,corr_z,0.7136707327450795
A,R7805,Bandpass,corr_z,0.5491225246076284
A,R81A1,Bandpass,corr_z,0.6504970034506977
A,R8B57,Bandpass,corr_z,0.732325543058751
A,R9634,Bandpass,corr_z,0.7243255714750684
A,RD4CB,Bandpass,corr_z,0.7735110522474593
A,S941D,Bandpass,corr_z,0.786844054542742
B,R0ECF,Bandpass,corr_z,0.7152744867993387
B,R2004,Bandpass,corr_z,0.6730161303300839
B,R24AE,Bandpass,corr_z,0.7041735876233503
B,R3B66,Bandpass,corr_z,0.7465595274378153
B,R4DE2,Bandpass,corr_z,0.7253567965394612
B,R53B7,Bandpass,corr_z,0.42495231317838944
B,R5C4C,Bandpass,corr_z,0.7721974843590527
B,R663D,Bandpass,corr_z,0.7180414793554256
B,R686A,Bandpass,corr_z,0.7163593050794358
B,R6928,Bandpass,corr_z,0.7061888599417195
B,R77C3,Bandpass,corr_z,0.6740935378782079
B,R7813,Bandpass,corr_z,0.5558516880697917
B,R7BF6,Bandpass,corr_z,0.6639812381799913
B,R81CF,Bandpass,corr_z,0.6837580088187134
B,R8219,Bandpass,corr_z,0.7122843652274273
B,R87FD,Bandpass,corr_z,0.6512452048234812
B,R8A9B,Bandpass,corr_z,0.6332846184214006
B,R8D8E,Bandpass,corr_z,0.6621323335957113
B,R92E0,Bandpass,corr_z,0.7637227473370666
B,R976A,Bandpass,corr_z,0.6874858715783191
B,R985F,Bandpass,corr_z,0.596306618811594
B,R9F13,Bandpass,corr_z,0.6956390384010124
B,RA825,Bandpass,corr_z,0.6980825687374118
B,RAB7F,Bandpass,corr_z,0.7308626367731549
B,RAC20,Bandpass,corr_z,0.6920177768432563
B,RB0FB,Bandpass,corr_z,0.7066165365222782
B,RB53D,Bandpass,corr_z,0.6893900976090626
B,RC131,Bandpass,corr_z,0.7034427566587957
B,RC2BF,Bandpass,corr_z,0.6407965751113004
B,RCBF0,Bandpass,corr_z,0.6756950957626562
B,RCCE6,Bandpass,corr_z,0.7716341613663812
B,RD349,Bandpass,corr_z,0.5402458645993451
B,RE8DB,Bandpass,corr_z,0.8198487470707846
A,R17EF,Bandpass,background_suppression_db,0.16661859275860783
A,R1A27,Bandpass,background_suppression_db,0.06539644947130686
A,R28BA,Bandpass,background_suppression_db,0.5530645998776337
A,R36D4,Bandpass,background_suppression_db,0.06909592462018906
A,R3AE5,Bandpass,background_suppression_db,0.14173276082610092
A,R4017,Bandpass,background_suppression_db,0.14961583114904772
A,R68A5,Bandpass,background_suppression_db,0.3163089496337435
A,R6DB9,Bandpass,background_suppression_db,2.861782716391402
A,R74A7,Bandpass,background_suppression_db,0.03141926981831497
A,R7805,Bandpass,background_suppression_db,0.30877571599205716
A,R81A1,Bandpass,background_suppression_db,0.29733851134540396
A,R8B57,Bandpass,background_suppression_db,3.775569346428453
A,R9634,Bandpass,background_suppression_db,0.207937144527053
A,RD4CB,Bandpass,background_suppression_db,0.1434579634709767
A,S941D,Bandpass,background_suppression_db,0.662891832518514
B,R0ECF,Bandpass,background_suppression_db,1.7084304380586015
B,R2004,Bandpass,background_suppression_db,0.16675704572218147
B,R24AE,Bandpass,background_suppression_db,0.09936871811609845
B,R3B66,Bandpass,background_suppression_db,1.3756017938046756
B,R4DE2,Bandpass,background_suppression_db,0.5260517279550506
B,R53B7,Bandpass,background_suppression_db,0.9578567391981613
B,R5C4C,Bandpass,background_suppression_db,0.07180561778961803
B,R663D,Bandpass,background_suppression_db,0.4316944512139947
B,R686A,Bandpass,background_suppression_db,0.20189348766088225
B,R6928,Bandpass,background_suppression_db,0.3461604347712041
B,R77C3,Bandpass,background_suppression_db,0.9065873509031355
B,R7813,Bandpass,background_suppression_db,0.16530415293060785
B,R7BF6,Bandpass,background_suppression_db,0.2697495222651743
B,R81CF,Bandpass,background_suppression_db,1.0694869383600734
B,R8219,Bandpass,background_suppression_db,0.17266214715935002
B,R87FD,Bandpass,background_suppression_db,0.7391243605265042
B,R8A9B,Bandpass,background_suppression_db,1.776674901005008
B,R8D8E,Bandpass,background_suppression_db,0.1563469520898421
B,R92E0,Bandpass,background_suppression_db,0.7264705459027487
B,R976A,Bandpass,background_suppression_db,0.21935684230145525
B,R985F,Bandpass,background_suppression_db,0.6552418591528492
B,R9F13,Bandpass,background_suppression_db,0.08727696908344174
B,RA825,Bandpass,background_suppression_db,0.6774567664555149
B,RAB7F,Bandpass,background_suppression_db,0.14846493348777923
B,RAC20,Bandpass,background_suppression_db,0.5150964637496624
B,RB0FB,Bandpass,background_suppression_db,0.03546323124899874
B,RB53D,Bandpass,background_suppression_db,0.3170038316133555
B,RC131,Bandpass,background_suppression_db,0.6644970233784261
B,RC2BF,Bandpass,background_suppression_db,2.462607041748934
B,RCBF0,Bandpass,background_suppression_db,0.17899272256840626
B,RCCE6,Bandpass,background_suppression_db,0.7663615398988718
B,RD349,Bandpass,background_suppression_db,0.11560655155847081
B,RE8DB,Bandpass,background_suppression_db,0.22526812276201827
A,R17EF,DeepDenoiser,output_vs_clean_snr,2.570775704339069
A,R1A27,DeepDenoiser,output_vs_clean_snr,1.4710481536135547
A,R28BA,DeepDenoiser,output_vs_clean_snr,1.9702371457158565
A,R36D4,DeepDenoiser,output_vs_clean_snr,3.1941013964108924
A,R3AE5,DeepDenoiser,output_vs_clean_snr,1.87084049317766
A,R4017,DeepDenoiser,output_vs_clean_snr,1.8050221598232759
A,R68A5,DeepDenoiser,output_vs_clean_snr,1.2757870982858652
A,R6DB9,DeepDenoiser,output_vs_clean_snr,1.4789723179950298
A,R74A7,DeepDenoiser,output_vs_clean_snr,1.3101542732251963
A,R7805,DeepDenoiser,output_vs_clean_snr,2.2521776187969897
A,R81A1,DeepDenoiser,output_vs_clean_snr,1.6038127634636743
A,R8B57,DeepDenoiser,output_vs_clean_snr,4.233899674920284
A,R9634,DeepDenoiser,output_vs_clean_snr,1.6694852225968757
A,RD4CB,DeepDenoiser,output_vs_clean_snr,1.3691661342743457
A,S941D,DeepDenoiser,output_vs_clean_snr,2.249231444504984
B,R0ECF,DeepDenoiser,output_vs_clean_snr,1.0277421495996029
B,R2004,DeepDenoiser,output_vs_clean_snr,0.8867223924739013
B,R24AE,DeepDenoiser,output_vs_clean_snr,1.175309845899524
B,R3B66,DeepDenoiser,output_vs_clean_snr,1.4668926588640263
B,R4DE2,DeepDenoiser,output_vs_clean_snr,2.0498287762209197
B,R53B7,DeepDenoiser,output_vs_clean_snr,2.0755112420488664
B,R5C4C,DeepDenoiser,output_vs_clean_snr,0.7519251852793741
B,R663D,DeepDenoiser,output_vs_clean_snr,1.0466104883990919
B,R686A,DeepDenoiser,output_vs_clean_snr,1.572507127113278
B,R6928,DeepDenoiser,output_vs_clean_snr,1.0922787137769854
B,R77C3,DeepDenoiser,output_vs_clean_snr,2.6161918960234414
B,R7813,DeepDenoiser,output_vs_clean_snr,0.880871365656374
B,R7BF6,DeepDenoiser,output_vs_clean_snr,1.3789772679425123
B,R81CF,DeepDenoiser,output_vs_clean_snr,1.9306301951658176
B,R8219,DeepDenoiser,output_vs_clean_snr,0.6884007893068743
B,R87FD,DeepDenoiser,output_vs_clean_snr,1.3145658023193543
B,R8A9B,DeepDenoiser,output_vs_clean_snr,1.5967126682591049
B,R8D8E,DeepDenoiser,output_vs_clean_snr,1.1683284723901861
B,R92E0,DeepDenoiser,output_vs_clean_snr,1.5821069003882726
B,R976A,DeepDenoiser,output_vs_clean_snr,1.0326864265731033
B,R985F,DeepDenoiser,output_vs_clean_snr,2.1332385791194532
B,R9F13,DeepDenoiser,output_vs_clean_snr,1.2304146591399834
B,RA825,DeepDenoiser,output_vs_clean_snr,1.1124705182391705
B,RAB7F,DeepDenoiser,output_vs_clean_snr,2.513513128090899
B,RAC20,DeepDenoiser,output_vs_clean_snr,1.2786308579306211
B,RB0FB,DeepDenoiser,output_vs_clean_snr,0.9036280406138907
B,RB53D,DeepDenoiser,output_vs_clean_snr,1.577127999438213
B,RC131,DeepDenoiser,output_vs_clean_snr,1.1867007266478784
B,RC2BF,DeepDenoiser,output_vs_clean_snr,0.7359519890890298
B,RCBF0,DeepDenoiser,output_vs_clean_snr,1.2765269680811608
B,RCCE6,DeepDenoiser,output_vs_clean_snr,3.490329284431388
B,RD349,DeepDenoiser,output_vs_clean_snr,0.5915324984549458
B,RE8DB,DeepDenoiser,output_vs_clean_snr,2.4299280425353946
A,R17EF,DeepDenoiser,amp_ratio_clean,0.5897931423969567
A,R1A27,DeepDenoiser,amp_ratio_clean,0.3472598665965754
A,R28BA,DeepDenoiser,amp_ratio_clean,0.5175510810508125
A,R36D4,DeepDenoiser,amp_ratio_clean,0.5043433876665033
A,R3AE5,DeepDenoiser,amp_ratio_clean,0.45373135349816746
A,R4017,DeepDenoiser,amp_ratio_clean,0.30593081403316724
A,R68A5,DeepDenoiser,amp_ratio_clean,0.33480191263542686
