method,metric,unadjusted_A_minus_B,unadjusted_ci95_low,unadjusted_ci95_high,regression_adjusted_A_minus_B,regression_ci95_low,regression_ci95_high,matched_A_minus_B,matched_ci95_low,matched_ci95_high,unadjusted_direction,regression_direction,matched_direction,direction_consistent,zero_exclusion_consistent,interpretation_grade
Bandpass,output_vs_clean_snr,0.230536439151323,-0.29449033037463723,0.980550686277567,0.3687381146814891,-0.18110740003077888,1.1842142843387753,0.32844034731686317,-0.18953509239072477,1.065083138361026,positive,positive,positive,True,True,qualified_consistent
Bandpass,amp_ratio_clean,0.1646180915367943,-0.2732432619583522,0.603741723075359,0.26658584116039374,-0.14896868194406096,0.7880002788455893,0.11760962802222046,-0.6300194063594613,0.728142970905647,positive,positive,positive,True,True,qualified_consistent
Bandpass,corr_z,0.034164561542410654,-0.022004972199263433,0.08816006952192126,0.021642975274882077,-0.041458985149201794,0.06804426245599235,0.020802855022076662,-0.029479618966465036,0.07375474633660198,positive,positive,positive,True,True,qualified_consistent
Bandpass,background_suppression_db,0.07622700348431144,-0.42279417345538883,0.7225300129860115,0.23754963315590655,-0.2859327577658039,0.9084403773622362,0.12851146941206956,-0.25632957889435676,0.7057788820944838,positive,positive,positive,True,True,qualified_consistent
DeepDenoiser,output_vs_clean_snr,0.5733203596061571,0.14341937019731646,1.048050067629603,0.6858165668924936,0.24137898704648442,1.1339246936380851,0.6867090548333283,0.27645511470838074,1.0637894079705703,positive,positive,positive,True,True,qualified_consistent
DeepDenoiser,amp_ratio_clean,0.14504227340479492,0.05955513996985316,0.2386251822910982,0.16563847664920417,0.07427015032247143,0.2539934130665238,0.16280856785086725,0.0574076450283021,0.28684530509553163,positive,positive,positive,True,True,qualified_consistent
DeepDenoiser,corr_z,0.046324959878573435,-0.008568271951068285,0.09992740683551607,0.04919072926975701,-0.009273329135653909,0.1033622389776912,0.04377851923633805,-0.024508232454875482,0.11623564364229685,positive,positive,positive,True,True,qualified_consistent
DeepDenoiser,background_suppression_db,-0.9139698310257245,-3.649769699262306,1.7930410670289783,-0.060038513429207345,-2.345330011634421,2.04150591713159,0.05672617850788342,-2.899689141040629,2.577762336682235,negative,negative,positive,False,True,suggestive
Noisy,output_vs_clean_snr,3.3511917911378082e-09,-1.9465882019020938e-08,2.5605305882796218e-08,4.84426413815699e-09,-2.0614632916751668e-08,3.125600335017788e-08,-1.2688018768773066e-09,-3.335774204196747e-08,2.8903641487611824e-08,positive,positive,negative,False,True,suggestive
Noisy,amp_ratio_clean,0.30314588508032303,-0.23401403937661966,0.8590471219818538,0.4508305398653809,-0.0290686329191554,1.0851831819442346,0.2832723175948747,-0.5457913349041879,0.9464452066867477,positive,positive,positive,True,True,qualified_consistent
Noisy,corr_z,0.019347473498444456,-0.03983030789437713,0.07762823033300159,0.0029482257868293418,-0.05771274002817223,0.05336377456195362,0.0069452389139510315,-0.0416366898564225,0.06437699004257397,positive,positive,positive,True,True,qualified_consistent
Noisy,background_suppression_db,1.2261101326364959e-14,-2.646387328664863e-14,5.318892845721789e-14,9.311148844857785e-15,-1.734670119590783e-14,3.3169106891467105e-14,2.5457349088238305e-14,-3.26656358861773e-14,9.756597679823679e-14,positive,positive,positive,True,True,qualified_consistent
Wiener_blind,output_vs_clean_snr,0.5580491799099447,0.08444964366023718,1.0840406056308287,0.5778818484716405,0.2529358344250575,0.9193696026247835,0.6610646112218547,0.41096089955229953,0.9332666692334765,positive,positive,positive,True,True,qualified_consistent
Wiener_blind,amp_ratio_clean,0.282339280934661,-0.13139853281910005,0.6964433867982358,0.3772761096513691,0.0051747771295792685,0.8803809311368984,0.2568893085324276,-0.45053773264492036,0.8136305468402526,positive,positive,positive,True,False,qualified_consistent
Wiener_blind,corr_z,0.04275980100696075,-0.014373081637885211,0.0980432348317663,0.02878346236936826,-0.03217862367578871,0.08103227183901489,0.03498883121332042,-0.01353206331054923,0.08112142996174804,positive,positive,positive,True,True,qualified_consistent
