method,metric,n_pairs,matched_A_minus_B,ci95_low,ci95_high,bootstrap_replicates,bootstrap_seed,direction,zero_excluded
Bandpass,output_vs_clean_snr,15,0.32844034731686317,-0.18953509239072477,1.065083138361026,1000,20331999,positive,False
Bandpass,amp_ratio_clean,15,0.11760962802222046,-0.6300194063594613,0.728142970905647,1000,20316291,positive,False
Bandpass,corr_z,15,0.020802855022076662,-0.029479618966465036,0.07375474633660198,1000,20290278,positive,False
Bandpass,background_suppression_db,15,0.12851146941206956,-0.25632957889435676,0.7057788820944838,1000,20357041,positive,False
DeepDenoiser,output_vs_clean_snr,15,0.6867090548333283,0.27645511470838074,1.0637894079705703,1000,20348481,positive,True
DeepDenoiser,amp_ratio_clean,15,0.16280856785086725,0.0574076450283021,0.28684530509553163,1000,20330793,positive,True
DeepDenoiser,corr_z,15,0.04377851923633805,-0.024508232454875482,0.11623564364229685,1000,20301136,positive,False
DeepDenoiser,background_suppression_db,15,0.05672617850788342,-2.899689141040629,2.577762336682235,1000,20375963,positive,False
Noisy,output_vs_clean_snr,15,-1.2688018768773066e-09,-3.335774204196747e-08,2.8903641487611824e-08,1000,20320717,negative,False
Noisy,amp_ratio_clean,15,0.2832723175948747,-0.5457913349041879,0.9464452066867477,1000,20306494,positive,False
Noisy,corr_z,15,0.0069452389139510315,-0.0416366898564225,0.06437699004257397,1000,20283214,positive,False
Noisy,background_suppression_db,15,2.5457349088238305e-14,-3.26656358861773e-14,9.756597679823679e-14,1000,20343929,positive,False
Wiener_blind,output_vs_clean_snr,15,0.6610646112218547,0.41096089955229953,0.9332666692334765,1000,20348392,positive,True
Wiener_blind,amp_ratio_clean,15,0.2568893085324276,-0.45053773264492036,0.8136305468402526,1000,20330704,positive,False
Wiener_blind,corr_z,15,0.03498883121332042,-0.01353206331054923,0.08112142996174804,1000,20301047,positive,False
Wiener_blind,background_suppression_db,15,0.3549566973792201,0.04139412772125543,0.6760085009286531,1000,20375874,positive,True
Wiener_oracle,output_vs_clean_snr,15,2.3684474609002826,1.3385256818230848,3.432523268581036,1000,20352793,positive,True
Wiener_oracle,amp_ratio_clean,15,0.1246938410178075,0.017480082592227907,0.23073738577481442,1000,20334610,positive,True
Wiener_oracle,corr_z,15,0.06140278346332328,0.0029608356602007857,0.11083136264625387,1000,20304042,positive,True
Wiener_oracle,background_suppression_db,15,0.12186164253712993,-0.5998883719389023,0.8864253468050952,1000,20380885,positive,False
p01_e07,output_vs_clean_snr,15,-0.25988391412320405,-0.4643653795762642,-0.06139379688090479,1000,20327020,negative,True
p01_e07,amp_ratio_clean,15,0.10090106284486702,-0.46984830266235555,0.5693005462836539,1000,20311807,positive,False
p01_e07,corr_z,15,-0.0420798108974622,-0.09145135144967781,0.011698710497843625,1000,20286705,negative,False
p01_e07,background_suppression_db,15,-0.2803986584864563,-1.0561665339341946,0.4551238617368593,1000,20351452,negative,False
p05_e16,output_vs_clean_snr,15,-0.3089329416579312,-0.5938424616446684,-0.05648237415643413,1000,20327031,negative,True
p05_e16,amp_ratio_clean,15,0.2027788296693366,-0.23045526884897555,0.5949124217230859,1000,20311818,positive,False
p05_e16,corr_z,15,-0.04930013199499431,-0.10058030831292118,0.005265044097409552,1000,20286716,negative,False
p05_e16,background_suppression_db,15,-0.31567530759750106,-1.0862704270712251,0.4436850302533158,1000,20351463,negative,False
p0_e06,output_vs_clean_snr,15,-0.28755067806403983,-0.4912190719190597,-0.08453580945429509,1000,20323533,negative,True
p0_e06,amp_ratio_clean,15,0.04127256949093914,-0.46886743454145474,0.4486189856310752,1000,20308815,positive,False
p0_e06,corr_z,15,-0.040898851095811685,-0.09267283284196647,0.012224479746810062,1000,20284624,negative,False
p0_e06,background_suppression_db,15,-0.31769693697212775,-1.115596864652423,0.5805845444310783,1000,20347355,negative,False
