method,metric,coefficient,value
Bandpass,output_vs_clean_snr,intercept,0.3052530673842454
Bandpass,output_vs_clean_snr,group_A,0.3687381146814891
Bandpass,output_vs_clean_snr,z_target_snr_db,3.952997026375356
Bandpass,output_vs_clean_snr,z_log10_noise_rms_injection_10s,0.08203926479092666
Bandpass,output_vs_clean_snr,z_dominant_freq_hz,0.2697171360069431
Bandpass,output_vs_clean_snr,z_spectral_slope_1_20,0.1901023808334385
Bandpass,output_vs_clean_snr,z_log10_high_low_bandpower_ratio,-0.13045519730545904
Bandpass,output_vs_clean_snr,z_frame_rms_cv_4s,-0.13556886590293318
Bandpass,amp_ratio_clean,intercept,1.7584108154202969
Bandpass,amp_ratio_clean,group_A,0.26658584116039374
Bandpass,amp_ratio_clean,z_target_snr_db,-0.44008829365852387
Bandpass,amp_ratio_clean,z_log10_noise_rms_injection_10s,0.424950285719396
Bandpass,amp_ratio_clean,z_dominant_freq_hz,0.4586185308590164
Bandpass,amp_ratio_clean,z_spectral_slope_1_20,-0.1863197247724233
Bandpass,amp_ratio_clean,z_log10_high_low_bandpower_ratio,-0.0033969994837955253
Bandpass,amp_ratio_clean,z_frame_rms_cv_4s,0.044711200711787746
Bandpass,corr_z,intercept,0.6897931341666916
Bandpass,corr_z,group_A,0.021642975274882077
Bandpass,corr_z,z_target_snr_db,0.1295845101924017
Bandpass,corr_z,z_log10_noise_rms_injection_10s,0.0016666446037092108
Bandpass,corr_z,z_dominant_freq_hz,-0.014735872023931297
Bandpass,corr_z,z_spectral_slope_1_20,-0.028375721659763754
Bandpass,corr_z,z_log10_high_low_bandpower_ratio,0.012511269267257036
Bandpass,corr_z,z_frame_rms_cv_4s,0.009174368527959836
Bandpass,background_suppression_db,intercept,0.48917674393991867
Bandpass,background_suppression_db,group_A,0.23754963315590655
Bandpass,background_suppression_db,z_target_snr_db,-0.0015710444163724857
Bandpass,background_suppression_db,z_log10_noise_rms_injection_10s,-0.006020747911547684
Bandpass,background_suppression_db,z_dominant_freq_hz,0.3352481578680799
Bandpass,background_suppression_db,z_spectral_slope_1_20,0.3279342833723364
Bandpass,background_suppression_db,z_log10_high_low_bandpower_ratio,-0.28614645311845366
Bandpass,background_suppression_db,z_frame_rms_cv_4s,-0.15264096836656496
DeepDenoiser,output_vs_clean_snr,intercept,1.3934724293136407
DeepDenoiser,output_vs_clean_snr,group_A,0.6858165668924936
DeepDenoiser,output_vs_clean_snr,z_target_snr_db,0.8311879530837334
DeepDenoiser,output_vs_clean_snr,z_log10_noise_rms_injection_10s,0.188293958664518
DeepDenoiser,output_vs_clean_snr,z_dominant_freq_hz,-0.009713293833162707
DeepDenoiser,output_vs_clean_snr,z_spectral_slope_1_20,0.09554649602614768
DeepDenoiser,output_vs_clean_snr,z_log10_high_low_bandpower_ratio,0.20562598203436078
DeepDenoiser,output_vs_clean_snr,z_frame_rms_cv_4s,-0.019024574988535648
DeepDenoiser,amp_ratio_clean,intercept,0.3254917231355393
DeepDenoiser,amp_ratio_clean,group_A,0.16563847664920417
DeepDenoiser,amp_ratio_clean,z_target_snr_db,0.059277564482410554
DeepDenoiser,amp_ratio_clean,z_log10_noise_rms_injection_10s,0.04486193434503061
DeepDenoiser,amp_ratio_clean,z_dominant_freq_hz,0.0438382941014436
DeepDenoiser,amp_ratio_clean,z_spectral_slope_1_20,0.047147340123099124
DeepDenoiser,amp_ratio_clean,z_log10_high_low_bandpower_ratio,-0.03966667280130021
DeepDenoiser,amp_ratio_clean,z_frame_rms_cv_4s,0.022147344517900538
DeepDenoiser,corr_z,intercept,0.625442876042367
DeepDenoiser,corr_z,group_A,0.04919072926975701
DeepDenoiser,corr_z,z_target_snr_db,0.09910718334453393
DeepDenoiser,corr_z,z_log10_noise_rms_injection_10s,-0.004232981101096544
DeepDenoiser,corr_z,z_dominant_freq_hz,-0.009064809884238858
DeepDenoiser,corr_z,z_spectral_slope_1_20,0.01813756039155765
DeepDenoiser,corr_z,z_log10_high_low_bandpower_ratio,-0.0015591254349937615
DeepDenoiser,corr_z,z_frame_rms_cv_4s,0.0031316689671403324
DeepDenoiser,background_suppression_db,intercept,21.030496556922873
DeepDenoiser,background_suppression_db,group_A,-0.060038513429207345
DeepDenoiser,background_suppression_db,z_target_snr_db,0.18703114749874006
DeepDenoiser,background_suppression_db,z_log10_noise_rms_injection_10s,0.18922230893731826
DeepDenoiser,background_suppression_db,z_dominant_freq_hz,-0.5094428959922889
DeepDenoiser,background_suppression_db,z_spectral_slope_1_20,-0.2693051638605467
DeepDenoiser,background_suppression_db,z_log10_high_low_bandpower_ratio,2.897508101443055
DeepDenoiser,background_suppression_db,z_frame_rms_cv_4s,-2.7086858491568497
Noisy,output_vs_clean_snr,intercept,1.2603661993413908e-08
Noisy,output_vs_clean_snr,group_A,4.84426413815699e-09
Noisy,output_vs_clean_snr,z_target_snr_db,4.082482918879044
Noisy,output_vs_clean_snr,z_log10_noise_rms_injection_10s,7.214045042115012e-09
Noisy,output_vs_clean_snr,z_dominant_freq_hz,-1.8644752408647487e-09
Noisy,output_vs_clean_snr,z_spectral_slope_1_20,1.192480691969422e-08
Noisy,output_vs_clean_snr,z_log10_high_low_bandpower_ratio,-9.289601532458391e-09
Noisy,output_vs_clean_snr,z_frame_rms_cv_4s,-9.878914908334484e-10
Noisy,amp_ratio_clean,intercept,1.8777160356032392
Noisy,amp_ratio_clean,group_A,0.4508305398653809
Noisy,amp_ratio_clean,z_target_snr_db,-0.5087484805291695
Noisy,amp_ratio_clean,z_log10_noise_rms_injection_10s,0.45906882540438376
Noisy,amp_ratio_clean,z_dominant_freq_hz,0.5849073743296629
Noisy,amp_ratio_clean,z_spectral_slope_1_20,-0.1457838459976903
Noisy,amp_ratio_clean,z_log10_high_low_bandpower_ratio,-0.05748510641331572
Noisy,amp_ratio_clean,z_frame_rms_cv_4s,-0.005982176587485946
Noisy,corr_z,intercept,0.7006612085851899
Noisy,corr_z,group_A,0.0029482257868293418
Noisy,corr_z,z_target_snr_db,0.1303645680406813
Noisy,corr_z,z_log10_noise_rms_injection_10s,-0.007796986024059325
Noisy,corr_z,z_dominant_freq_hz,-0.01690264759862324
Noisy,corr_z,z_spectral_slope_1_20,-0.03779253988842579
Noisy,corr_z,z_log10_high_low_bandpower_ratio,0.015390547633741418
Noisy,corr_z,z_frame_rms_cv_4s,0.012023249526477962
Noisy,background_suppression_db,intercept,-1.1500666266762683e-13
Noisy,background_suppression_db,group_A,9.311148844857785e-15
Noisy,background_suppression_db,z_target_snr_db,-1.8337703792941592e-14
Noisy,background_suppression_db,z_log10_noise_rms_injection_10s,1.182574433026168e-13
Noisy,background_suppression_db,z_dominant_freq_hz,-8.50114288794055e-15
Noisy,background_suppression_db,z_spectral_slope_1_20,-2.7672606747592412e-14
Noisy,background_suppression_db,z_log10_high_low_bandpower_ratio,2.7328903761308093e-14
Noisy,background_suppression_db,z_frame_rms_cv_4s,4.7655577093040816e-15
Wiener_blind,output_vs_clean_snr,intercept,1.7465235962388495
Wiener_blind,output_vs_clean_snr,group_A,0.5778818484716405
Wiener_blind,output_vs_clean_snr,z_target_snr_db,3.6221252709600233
Wiener_blind,output_vs_clean_snr,z_log10_noise_rms_injection_10s,0.06457917015606711
Wiener_blind,output_vs_clean_snr,z_dominant_freq_hz,0.03536984888977962
Wiener_blind,output_vs_clean_snr,z_spectral_slope_1_20,-0.13289220537758928
Wiener_blind,output_vs_clean_snr,z_log10_high_low_bandpower_ratio,0.0466445636788944
Wiener_blind,output_vs_clean_snr,z_frame_rms_cv_4s,-0.7407606621147738
Wiener_blind,amp_ratio_clean,intercept,1.3947156987046816
Wiener_blind,amp_ratio_clean,group_A,0.3772761096513691
Wiener_blind,amp_ratio_clean,z_target_snr_db,-0.311399050116256
Wiener_blind,amp_ratio_clean,z_log10_noise_rms_injection_10s,0.3501032759423716
Wiener_blind,amp_ratio_clean,z_dominant_freq_hz,0.4181345782946287
Wiener_blind,amp_ratio_clean,z_spectral_slope_1_20,-0.19442189284045733
Wiener_blind,amp_ratio_clean,z_log10_high_low_bandpower_ratio,0.04395035024086179
Wiener_blind,amp_ratio_clean,z_frame_rms_cv_4s,0.1650456170094204
Wiener_blind,corr_z,intercept,0.697143544184812
Wiener_blind,corr_z,group_A,0.02878346236936826
Wiener_blind,corr_z,z_target_snr_db,0.13274869916089152
Wiener_blind,corr_z,z_log10_noise_rms_injection_10s,-0.000959885582417392
Wiener_blind,corr_z,z_dominant_freq_hz,-0.01710156355864911
Wiener_blind,corr_z,z_spectral_slope_1_20,-0.03177407687112623
Wiener_blind,corr_z,z_log10_high_low_bandpower_ratio,0.01462924431014097
Wiener_blind,corr_z,z_frame_rms_cv_4s,0.007313492337664092
Wiener_blind,background_suppression_db,intercept,2.208735446550125
Wiener_blind,background_suppression_db,group_A,0.2989555727159742
Wiener_blind,background_suppression_db,z_target_snr_db,-0.1557534444397685
Wiener_blind,background_suppression_db,z_log10_noise_rms_injection_10s,0.0111434954694751
Wiener_blind,background_suppression_db,z_dominant_freq_hz,0.0235871896704119
Wiener_blind,background_suppression_db,z_spectral_slope_1_20,0.06511076763503564
Wiener_blind,background_suppression_db,z_log10_high_low_bandpower_ratio,-0.19411782629604465
Wiener_blind,background_suppression_db,z_frame_rms_cv_4s,-1.3199584564270443
Wiener_oracle,output_vs_clean_snr,intercept,3.604692316453756
Wiener_oracle,output_vs_clean_snr,group_A,2.521335269388242
Wiener_oracle,output_vs_clean_snr,z_target_snr_db,1.740372607606227
Wiener_oracle,output_vs_clean_snr,z_log10_noise_rms_injection_10s,0.28855221954530863
Wiener_oracle,output_vs_clean_snr,z_dominant_freq_hz,0.14816975274094293
Wiener_oracle,output_vs_clean_snr,z_spectral_slope_1_20,-0.14490759775202464
Wiener_oracle,output_vs_clean_snr,z_log10_high_low_bandpower_ratio,0.3765310551029008
Wiener_oracle,output_vs_clean_snr,z_frame_rms_cv_4s,-0.6214317767975495
Wiener_oracle,amp_ratio_clean,intercept,0.47748316604413044
Wiener_oracle,amp_ratio_clean,group_A,0.13901015893648466
Wiener_oracle,amp_ratio_clean,z_target_snr_db,0.10463540300551118
Wiener_oracle,amp_ratio_clean,z_log10_noise_rms_injection_10s,0.017091411078716756
Wiener_oracle,amp_ratio_clean,z_dominant_freq_hz,0.03184828515763462
Wiener_oracle,amp_ratio_clean,z_spectral_slope_1_20,0.00537395218911126
Wiener_oracle,amp_ratio_clean,z_log10_high_low_bandpower_ratio,-0.002117498705303621
Wiener_oracle,amp_ratio_clean,z_frame_rms_cv_4s,-0.045193969416283876
Wiener_oracle,corr_z,intercept,0.7633103443812942
Wiener_oracle,corr_z,group_A,0.06899710850220948
Wiener_oracle,corr_z,z_target_snr_db,0.07434056425224797
Wiener_oracle,corr_z,z_log10_noise_rms_injection_10s,0.00027461501182533826
Wiener_oracle,corr_z,z_dominant_freq_hz,0.004415967838830373
Wiener_oracle,corr_z,z_spectral_slope_1_20,-0.015419299555020733
Wiener_oracle,corr_z,z_log10_high_low_bandpower_ratio,0.015929892990156336
Wiener_oracle,corr_z,z_frame_rms_cv_4s,-0.023936922114462442
Wiener_oracle,background_suppression_db,intercept,16.93387489451089
Wiener_oracle,background_suppression_db,group_A,0.19547558528912556
Wiener_oracle,background_suppression_db,z_target_snr_db,-4.0954285139805595
Wiener_oracle,background_suppression_db,z_log10_noise_rms_injection_10s,-0.19026854733390025
Wiener_oracle,background_suppression_db,z_dominant_freq_hz,-0.31009026500202097
Wiener_oracle,background_suppression_db,z_spectral_slope_1_20,0.15272080354308623
Wiener_oracle,background_suppression_db,z_log10_high_low_bandpower_ratio,-0.5275811749579891
Wiener_oracle,background_suppression_db,z_frame_rms_cv_4s,2.581306301736748
p01_e07,output_vs_clean_snr,intercept,-0.14199567488308776
p01_e07,output_vs_clean_snr,group_A,-0.22167698846645142
p01_e07,output_vs_clean_snr,z_target_snr_db,1.4138654032179763
p01_e07,output_vs_clean_snr,z_log10_noise_rms_injection_10s,0.056663568578741864
p01_e07,output_vs_clean_snr,z_dominant_freq_hz,-0.01976124069095133
p01_e07,output_vs_clean_snr,z_spectral_slope_1_20,0.17711200981594058
p01_e07,output_vs_clean_snr,z_log10_high_low_bandpower_ratio,-0.2567424049263386
p01_e07,output_vs_clean_snr,z_frame_rms_cv_4s,0.04793288118971695
p01_e07,amp_ratio_clean,intercept,1.032169571593366
p01_e07,amp_ratio_clean,group_A,0.22471924661282908
p01_e07,amp_ratio_clean,z_target_snr_db,-0.2886325916978182
p01_e07,amp_ratio_clean,z_log10_noise_rms_injection_10s,0.2752963972678106
p01_e07,amp_ratio_clean,z_dominant_freq_hz,0.34011607437646
p01_e07,amp_ratio_clean,z_spectral_slope_1_20,-0.20454149507330208
p01_e07,amp_ratio_clean,z_log10_high_low_bandpower_ratio,0.04910667033654238
p01_e07,amp_ratio_clean,z_frame_rms_cv_4s,-0.004825434680811769
p01_e07,corr_z,intercept,0.39759150662588655
p01_e07,corr_z,group_A,-0.030876992635537562
p01_e07,corr_z,z_target_snr_db,0.08777920994392398
p01_e07,corr_z,z_log10_noise_rms_injection_10s,-0.006380219292952783
p01_e07,corr_z,z_dominant_freq_hz,-0.024096607762662366
p01_e07,corr_z,z_spectral_slope_1_20,-0.04227890508283019
p01_e07,corr_z,z_log10_high_low_bandpower_ratio,0.014779641391880627
p01_e07,corr_z,z_frame_rms_cv_4s,0.008045358425165587
p01_e07,background_suppression_db,intercept,5.717711785140698
p01_e07,background_suppression_db,group_A,-0.4394716832957608
p01_e07,background_suppression_db,z_target_snr_db,-0.03871049149813894
p01_e07,background_suppression_db,z_log10_noise_rms_injection_10s,-0.07435909830746143
p01_e07,background_suppression_db,z_dominant_freq_hz,0.1692753290504848
p01_e07,background_suppression_db,z_spectral_slope_1_20,0.813573853992555
p01_e07,background_suppression_db,z_log10_high_low_bandpower_ratio,-0.8790214200656529
p01_e07,background_suppression_db,z_frame_rms_cv_4s,0.5059917037782455
p05_e16,output_vs_clean_snr,intercept,-0.21667795192502917
p05_e16,output_vs_clean_snr,group_A,-0.2492809508566397
p05_e16,output_vs_clean_snr,z_target_snr_db,1.3996796121739556
p05_e16,output_vs_clean_snr,z_log10_noise_rms_injection_10s,0.06071092520558177
p05_e16,output_vs_clean_snr,z_dominant_freq_hz,-0.08643350664589258
p05_e16,output_vs_clean_snr,z_spectral_slope_1_20,0.1749309476631063
p05_e16,output_vs_clean_snr,z_log10_high_low_bandpower_ratio,-0.18869820824917896
p05_e16,output_vs_clean_snr,z_frame_rms_cv_4s,0.05947976470463738
p05_e16,amp_ratio_clean,intercept,1.0233995274403018
p05_e16,amp_ratio_clean,group_A,0.26870176586892747
p05_e16,amp_ratio_clean,z_target_snr_db,-0.28291274886870754
