method,metric,n_rows,n_kept,n_parameters,rank,condition_number,n_station_A,n_station_B,bootstrap_finite_replicates
Bandpass,output_vs_clean_snr,1632,1632,8,8,5.106877982086126,15,33,1000
Bandpass,amp_ratio_clean,1632,1632,8,8,5.106877982086126,15,33,1000
Bandpass,corr_z,1632,1632,8,8,5.106877982086126,15,33,1000
Bandpass,background_suppression_db,1632,1632,8,8,5.106877982086126,15,33,1000
DeepDenoiser,output_vs_clean_snr,1632,1632,8,8,5.106877982086126,15,33,1000
DeepDenoiser,amp_ratio_clean,1632,1632,8,8,5.106877982086126,15,33,1000
DeepDenoiser,corr_z,1632,1632,8,8,5.106877982086126,15,33,1000
DeepDenoiser,background_suppression_db,1632,1632,8,8,5.106877982086126,15,33,1000
Noisy,output_vs_clean_snr,1632,1632,8,8,5.106877982086126,15,33,1000
Noisy,amp_ratio_clean,1632,1632,8,8,5.106877982086126,15,33,1000
Noisy,corr_z,1632,1632,8,8,5.106877982086126,15,33,1000
Noisy,background_suppression_db,1632,1632,8,8,5.106877982086126,15,33,1000
Wiener_blind,output_vs_clean_snr,1632,1632,8,8,5.106877982086126,15,33,1000
Wiener_blind,amp_ratio_clean,1632,1632,8,8,5.106877982086126,15,33,1000
Wiener_blind,corr_z,1632,1632,8,8,5.106877982086126,15,33,1000
Wiener_blind,background_suppression_db,1632,1632,8,8,5.106877982086126,15,33,1000
Wiener_oracle,output_vs_clean_snr,1632,1632,8,8,5.106877982086126,15,33,1000
Wiener_oracle,amp_ratio_clean,1632,1632,8,8,5.106877982086126,15,33,1000
Wiener_oracle,corr_z,1632,1632,8,8,5.106877982086126,15,33,1000
Wiener_oracle,background_suppression_db,1632,1632,8,8,5.106877982086126,15,33,1000
p01_e07,output_vs_clean_snr,1632,1632,8,8,5.106877982086126,15,33,1000
p01_e07,amp_ratio_clean,1632,1632,8,8,5.106877982086126,15,33,1000
p01_e07,corr_z,1632,1632,8,8,5.106877982086126,15,33,1000
p01_e07,background_suppression_db,1632,1632,8,8,5.106877982086126,15,33,1000
p05_e16,output_vs_clean_snr,1632,1632,8,8,5.106877982086126,15,33,1000
p05_e16,amp_ratio_clean,1632,1632,8,8,5.106877982086126,15,33,1000
p05_e16,corr_z,1632,1632,8,8,5.106877982086126,15,33,1000
p05_e16,background_suppression_db,1632,1632,8,8,5.106877982086126,15,33,1000
p0_e06,output_vs_clean_snr,1632,1632,8,8,5.106877982086126,15,33,1000
p0_e06,amp_ratio_clean,1632,1632,8,8,5.106877982086126,15,33,1000
p0_e06,corr_z,1632,1632,8,8,5.106877982086126,15,33,1000
p0_e06,background_suppression_db,1632,1632,8,8,5.106877982086126,15,33,1000
