method,metric,old_tapered_unadjusted,old_tapered_regression_adjusted,old_tapered_matched,new_notaper_unadjusted,new_notaper_regression_adjusted,new_notaper_matched,old_tapered_interpretation_grade,new_notaper_interpretation_grade,same_direction_all_three_new
Bandpass,output_vs_clean_snr,0.23022092693292462,0.37548901873913726,0.41637920435438,0.230536439151323,0.3687381146814891,0.32844034731686317,qualified_consistent,qualified_consistent,True
Bandpass,amp_ratio_clean,0.19552993298066745,0.31467793737274397,0.2083700927322941,0.1646180915367943,0.26658584116039374,0.11760962802222046,qualified_consistent,qualified_consistent,True
Bandpass,corr_z,0.03456092301956393,0.022059737951308632,0.008163555787997798,0.034164561542410654,0.021642975274882077,0.020802855022076662,qualified_consistent,qualified_consistent,True
Bandpass,background_suppression_db,0.07622703103408679,0.25433281577113254,0.1623899741739896,0.07622700348431144,0.23754963315590655,0.12851146941206956,qualified_consistent,qualified_consistent,True
DeepDenoiser,output_vs_clean_snr,0.6239007706394095,0.7141632236395569,0.6882601911805821,0.5733203596061571,0.6858165668924936,0.6867090548333283,qualified_consistent,qualified_consistent,True
DeepDenoiser,amp_ratio_clean,0.1540244503231763,0.1687050563602446,0.15791261427666056,0.14504227340479492,0.16563847664920417,0.16280856785086725,qualified_consistent,qualified_consistent,True
DeepDenoiser,corr_z,0.05084498147524941,0.05379238397542437,0.03913215756712215,0.046324959878573435,0.04919072926975701,0.04377851923633805,qualified_consistent,qualified_consistent,True
DeepDenoiser,background_suppression_db,-0.9185291871014201,-0.24981464829348143,0.121526087647261,-0.9139698310257245,-0.060038513429207345,0.05672617850788342,suggestive,suggestive,False
Noisy,output_vs_clean_snr,-7.363283584771833e-09,-1.114746511355121e-08,-2.573219722775835e-08,3.3511917911378082e-09,4.84426413815699e-09,-1.2688018768773066e-09,qualified_consistent,suggestive,False
Noisy,amp_ratio_clean,0.34760155512571833,0.5277122216749649,0.40575987383861073,0.30314588508032303,0.4508305398653809,0.2832723175948747,qualified_consistent,qualified_consistent,True
Noisy,corr_z,0.019645358748844988,0.0036740548902752844,-0.00836916524810362,0.019347473498444456,0.0029482257868293418,0.0069452389139510315,suggestive,qualified_consistent,True
Noisy,background_suppression_db,1.2494605683331274e-14,4.487028715037109e-15,1.8260944372512643e-14,1.2261101326364959e-14,9.311148844857785e-15,2.5457349088238305e-14,qualified_consistent,qualified_consistent,True
Wiener_blind,output_vs_clean_snr,0.5602163094300758,0.5901222637452788,0.6171864269785283,0.5580491799099447,0.5778818484716405,0.6610646112218547,qualified_consistent,qualified_consistent,True
Wiener_blind,amp_ratio_clean,0.3095309724832829,0.416436921094574,0.34070708648036774,0.282339280934661,0.3772761096513691,0.2568893085324276,qualified_consistent,qualified_consistent,True
Wiener_blind,corr_z,0.04286535132508307,0.027524625590698907,0.012198004169087522,0.04275980100696075,0.02878346236936826,0.03498883121332042,qualified_consistent,qualified_consistent,True
Wiener_blind,background_suppression_db,0.26403621162609436,0.2900143980762124,0.44703279565039417,0.2627084357536531,0.2989555727159742,0.3549566973792201,qualified_consistent,qualified_consistent,True
Wiener_oracle,output_vs_clean_snr,2.356923385807039,2.3530032307860873,2.3486267369814007,2.3528091915123563,2.521335269388242,2.3684474609002826,qualified_consistent,qualified_consistent,True
Wiener_oracle,amp_ratio_clean,0.12392623150073417,0.12949158969534316,0.11477377513408668,0.12403578484005978,0.13901015893648466,0.1246938410178075,qualified_consistent,qualified_consistent,True
