method,metric,adjusted_A_minus_B,ci95_low,ci95_high,bootstrap_replicates,bootstrap_seed,bootstrap_finite_replicates,direction,zero_excluded,model,covariates
Bandpass,output_vs_clean_snr,0.3687381146814891,-0.18110740003077888,1.1842142843387753,1000,20345673,1000,positive,False,outcome ~ group_A + standardized_covariates,target_snr_db;log10_noise_rms_injection_10s;dominant_freq_hz;spectral_slope_1_20;log10_high_low_bandpower_ratio;frame_rms_cv_4s
Bandpass,amp_ratio_clean,0.26658584116039374,-0.14896868194406096,0.7880002788455893,1000,20328513,1000,positive,False,outcome ~ group_A + standardized_covariates,target_snr_db;log10_noise_rms_injection_10s;dominant_freq_hz;spectral_slope_1_20;log10_high_low_bandpower_ratio;frame_rms_cv_4s
Bandpass,corr_z,0.021642975274882077,-0.041458985149201794,0.06804426245599235,1000,20299233,1000,positive,False,outcome ~ group_A + standardized_covariates,target_snr_db;log10_noise_rms_injection_10s;dominant_freq_hz;spectral_slope_1_20;log10_high_low_bandpower_ratio;frame_rms_cv_4s
Bandpass,background_suppression_db,0.23754963315590655,-0.2859327577658039,0.9084403773622362,1000,20372893,1000,positive,False,outcome ~ group_A + standardized_covariates,target_snr_db;log10_noise_rms_injection_10s;dominant_freq_hz;spectral_slope_1_20;log10_high_low_bandpower_ratio;frame_rms_cv_4s
DeepDenoiser,output_vs_clean_snr,0.6858165668924936,0.24137898704648442,1.1339246936380851,1000,20363607,1000,positive,True,outcome ~ group_A + standardized_covariates,target_snr_db;log10_noise_rms_injection_10s;dominant_freq_hz;spectral_slope_1_20;log10_high_low_bandpower_ratio;frame_rms_cv_4s
DeepDenoiser,amp_ratio_clean,0.16563847664920417,0.07427015032247143,0.2539934130665238,1000,20344467,1000,positive,True,outcome ~ group_A + standardized_covariates,target_snr_db;log10_noise_rms_injection_10s;dominant_freq_hz;spectral_slope_1_20;log10_high_low_bandpower_ratio;frame_rms_cv_4s
DeepDenoiser,corr_z,0.04919072926975701,-0.009273329135653909,0.1033622389776912,1000,20311543,1000,positive,False,outcome ~ group_A + standardized_covariates,target_snr_db;log10_noise_rms_injection_10s;dominant_freq_hz;spectral_slope_1_20;log10_high_low_bandpower_ratio;frame_rms_cv_4s
DeepDenoiser,background_suppression_db,-0.060038513429207345,-2.345330011634421,2.04150591713159,1000,20393267,1000,negative,False,outcome ~ group_A + standardized_covariates,target_snr_db;log10_noise_rms_injection_10s;dominant_freq_hz;spectral_slope_1_20;log10_high_low_bandpower_ratio;frame_rms_cv_4s
Noisy,output_vs_clean_snr,4.84426413815699e-09,-2.0614632916751668e-08,3.125600335017788e-08,1000,20333302,1000,positive,False,outcome ~ group_A + standardized_covariates,target_snr_db;log10_noise_rms_injection_10s;dominant_freq_hz;spectral_slope_1_20;log10_high_low_bandpower_ratio;frame_rms_cv_4s
Noisy,amp_ratio_clean,0.4508305398653809,-0.0290686329191554,1.0851831819442346,1000,20317627,1000,positive,False,outcome ~ group_A + standardized_covariates,target_snr_db;log10_noise_rms_injection_10s;dominant_freq_hz;spectral_slope_1_20;log10_high_low_bandpower_ratio;frame_rms_cv_4s
