method,metric,n_A,n_B,n_station_A,n_station_B,station_mean_A,station_mean_B,unadjusted_A_minus_B,ci95_low,ci95_high,bootstrap_replicates,bootstrap_seed,direction,zero_excluded
Bandpass,output_vs_clean_snr,816,816,15,33,0.6084384010629936,0.37790196191167064,0.230536439151323,-0.29449033037463723,0.980550686277567,20000,20260611,positive,False
Bandpass,amp_ratio_clean,816,816,15,33,1.9798106079290563,1.815192516392262,0.1646180915367943,-0.2732432619583522,0.603741723075359,20000,20260611,positive,False
Bandpass,corr_z,816,816,15,33,0.7175141996891142,0.6833496381467036,0.034164561542410654,-0.022004972199263433,0.08816006952192126,20000,20260611,positive,False
Bandpass,background_suppression_db,816,816,15,33,0.650067040588587,0.5738400371042756,0.07622700348431144,-0.42279417345538883,0.7225300129860115,20000,20260611,positive,False
DeepDenoiser,output_vs_clean_snr,816,816,15,33,2.021647440076237,1.4483270804700799,0.5733203596061571,0.14341937019731646,1.048050067629603,20000,20260611,positive,True
DeepDenoiser,amp_ratio_clean,816,816,15,33,0.4813477732355809,0.336305499830786,0.14504227340479492,0.05955513996985316,0.2386251822910982,20000,20260611,positive,True
DeepDenoiser,corr_z,816,816,15,33,0.6728515846860151,0.6265266248074417,0.046324959878573435,-0.008568271951068285,0.09992740683551607,20000,20260611,positive,False
DeepDenoiser,background_suppression_db,816,816,15,33,20.482341647497318,21.396311478523042,-0.9139698310257245,-3.649769699262306,1.7930410670289783,20000,20260611,negative,False
Noisy,output_vs_clean_snr,816,816,15,33,1.6834805247127162e-08,1.3483613455989354e-08,3.3511917911378082e-09,-1.9465882019020938e-08,2.5605305882796218e-08,20000,20260611,positive,False
Noisy,amp_ratio_clean,816,816,15,33,2.2614009327048836,1.9582550476245606,0.30314588508032303,-0.23401403937661966,0.8590471219818538,20000,20260611,positive,False
Noisy,corr_z,816,816,15,33,0.7115027592913071,0.6921552857928627,0.019347473498444456,-0.03983030789437713,0.07762823033300159,20000,20260611,positive,False
Noisy,background_suppression_db,816,816,15,33,-1.0378074650427453e-13,-1.160418478306395e-13,1.2261101326364959e-14,-2.646387328664863e-14,5.318892845721789e-14,20000,20260611,positive,False
Wiener_blind,output_vs_clean_snr,816,816,15,33,2.313953139383111,1.7559039594731662,0.5580491799099447,0.08444964366023718,1.0840406056308287,20000,20260611,positive,True
Wiener_blind,amp_ratio_clean,816,816,15,33,1.7316363573732743,1.4492970764386133,0.282339280934661,-0.13139853281910005,0.6964433867982358,20000,20260611,positive,False
Wiener_blind,corr_z,816,816,15,33,0.7325674841915493,0.6898076831845885,0.04275980100696075,-0.014373081637885211,0.0980432348317663,20000,20260611,positive,False
Wiener_blind,background_suppression_db,816,816,15,33,2.4861013223327135,2.2233928865790604,0.2627084357536531,-0.4232806771129178,0.9813364899281551,20000,20260611,positive,False
Wiener_oracle,output_vs_clean_snr,816,816,15,33,6.034580292788246,3.68177110127589,2.3528091915123563,1.444463104058497,3.2686076540824325,20000,20260611,positive,True
Wiener_oracle,amp_ratio_clean,816,816,15,33,0.6079875421556604,0.48395175731560064,0.12403578484005978,0.04694351010468623,0.202271329562083,20000,20260611,positive,True
Wiener_oracle,corr_z,816,816,15,33,0.83056491799228,0.7643064925084028,0.06625842548387728,0.025830568258541183,0.10553449232454262,20000,20260611,positive,True
Wiener_oracle,background_suppression_db,816,816,15,33,17.322871283072043,16.767310165232544,0.555561117839499,-0.569722088247712,1.6623239836943209,20000,20260611,positive,False
p01_e07,output_vs_clean_snr,816,816,15,33,-0.3460072645134677,-0.160195503694958,-0.1858117608185097,-0.3916569893261153,-0.0013216113578233802,20000,20260611,negative,True
p01_e07,amp_ratio_clean,816,816,15,33,1.226212285576198,1.0720176920336575,0.15419459354254061,-0.1817983698507732,0.4891074449168774,20000,20260611,positive,False
p01_e07,corr_z,816,816,15,33,0.37694618579142397,0.3872837083915371,-0.010337522600113114,-0.06040223637414443,0.03812315571798191,20000,20260611,negative,False
p01_e07,background_suppression_db,816,816,15,33,5.264154708620988,5.735136768475549,-0.47098205985456065,-1.151394883765538,0.17188350459707205,20000,20260611,negative,False
p05_e16,output_vs_clean_snr,816,816,15,33,-0.448531954759317,-0.23757820021189088,-0.21095375454742613,-0.43855144142751123,-0.00491678991119707,20000,20260611,negative,True
p05_e16,amp_ratio_clean,816,816,15,33,1.257068235532195,1.0661880658515108,0.1908801696806841,-0.12022587150854097,0.5152505598518003,20000,20260611,positive,False
p05_e16,corr_z,816,816,15,33,0.35684220157680485,0.3755009414797657,-0.018658739902960852,-0.0713037273625694,0.03261303508673733,20000,20260611,negative,False
p05_e16,background_suppression_db,816,816,15,33,5.37947087202026,5.752982648317378,-0.37351177629711785,-1.1311340216645591,0.34796027351420117,20000,20260611,negative,False
p0_e06,output_vs_clean_snr,816,816,15,33,-0.2527885469971849,-0.02328281652335979,-0.2295057304738251,-0.46960921457695604,-0.010946084807201615,20000,20260611,negative,True
p0_e06,amp_ratio_clean,816,816,15,33,1.1364652223783396,1.055901595898282,0.08056362648005755,-0.2577252956952309,0.42868953768439527,20000,20260611,positive,False
p0_e06,corr_z,816,816,15,33,0.38934999478407917,0.4001383540583183,-0.010788359274239157,-0.06266631025230066,0.039620506179547106,20000,20260611,negative,False
p0_e06,background_suppression_db,816,816,15,33,5.293736850021787,5.883002431019758,-0.5892655809979708,-1.3707946089044192,0.14922764954039802,20000,20260611,negative,False
