run,method,epoch,val_loss,dev_snr_gain_mean,dev_amp_ratio_mean,final_snr_gain_mean,final_amp_ratio_mean,rank_val,rank_dev,rank_final,rank_val_norm,rank_dev_norm,rank_final_norm
p0,p0_e01,1,0.99691,-1.1743975544105851,0.39281388194077194,-0.2848914574770549,0.37523307046900306,11,10,11,1.0,0.9,1.0
p0,p0_e02,2,0.94724,-2.3747499600602913,0.4582884729941719,-0.4753472777381592,0.4586200626282115,8,5,5,0.7,0.4,0.4
p0,p0_e03,3,0.93374,-1.789478171046083,0.46945910438445587,-0.22326404873873298,0.46197036368164296,5,3,4,0.4,0.2,0.3
p0,p0_e04,4,0.93078,-1.7924193017127856,0.44350661669422237,-0.232349888421641,0.441792267943908,4,7,7,0.3,0.6,0.6
p0,p0_e05,5,0.9299,-1.425896825434996,0.4187634886460486,-0.6532094121498409,0.40914707470925177,3,8,8,0.2,0.7,0.7
p0,p0_e06,6,0.95718,-0.8869333746661161,0.4972594395149013,-0.08017058531005888,0.493294756385422,9,1,2,0.8,0.0,0.1
p0,p0_e07,7,0.95725,-2.077527092792037,0.44541502690477225,-0.8933969267813751,0.4584299570978615,10,6,6,0.9,0.5,0.5
p0,p0_e08,8,0.92382,-1.8477004618431232,0.4961360234748246,-0.1900092841023746,0.4962435967916401,1,2,1,0.0,0.1,0.0
p0,p0_e09,9,0.94388,-0.7606212920207337,0.46324396418079794,0.23865467900479878,0.4688526594211439,6,4,3,0.5,0.3,0.2
p0,p0_e10,10,0.94537,-0.7865751431281788,0.3941084008639574,-0.1402794365215935,0.4051274626995254,7,9,9,0.6,0.8,0.8
p0,p0_e11,11,0.92669,-1.2046700137715283,0.3809869638343115,-0.25219144406888505,0.3766815073711362,2,11,10,0.1,1.0,0.9
p01,p01_e01,1,0.96192,-1.514408277035463,0.4071218734850052,-0.6355675765727873,0.42007402336346616,8,7,7,0.7,0.6,0.6
p01,p01_e02,2,0.98064,-2.4873718947773646,0.49668444788463234,-1.0120493278818496,0.4716108383564008,9,3,4,0.8,0.2,0.3
p01,p01_e03,3,0.94201,-1.3406032481199879,0.4548744244631662,-0.3927408816297556,0.41363350639393964,6,5,8,0.5,0.4,0.7
p01,p01_e04,4,0.92959,-2.8757427171235803,0.46518260786438204,-1.1366315270557352,0.4413493920291329,3,11,5,0.2,1.0,0.4
p01,p01_e05,5,0.92481,-2.379087254600519,0.4497589625740472,-0.5209693292955745,0.43560751007339754,2,6,6,0.1,0.5,0.5
p01,p01_e06,6,0.9217,-2.03868010141281,0.5102685611173172,-0.9234796861248897,0.4883623241171911,1,2,2,0.0,0.1,0.1
p01,p01_e07,7,0.93236,-1.9593194627933948,0.5328534307786394,-0.7313377382578979,0.5151092452342871,4,1,1,0.3,0.0,0.0
