run,selection_source,method,epoch,val_loss,dev_snr_gain_mean,dev_amp_ratio_mean,final_snr_gain_mean,final_amp_ratio_mean
p0,val_loss,p0_e08,8,0.92382,-1.8477004618431232,0.4961360234748246,-0.1900092841023746,0.4962435967916401
p0,development_rule,p0_e06,6,0.95718,-0.8869333746661161,0.4972594395149013,-0.08017058531005888,0.493294756385422
p0,final_oracle_rule,p0_e08,8,0.92382,-1.8477004618431232,0.4961360234748246,-0.1900092841023746,0.4962435967916401
p01,val_loss,p01_e06,6,0.9217,-2.03868010141281,0.5102685611173172,-0.9234796861248897,0.4883623241171911
p01,development_rule,p01_e07,7,0.93236,-1.9593194627933948,0.5328534307786394,-0.7313377382578979,0.5151092452342871
p01,final_oracle_rule,p01_e07,7,0.93236,-1.9593194627933948,0.5328534307786394,-0.7313377382578979,0.5151092452342871
p05,val_loss,p05_e04,4,0.93236,-3.861840172842157,0.3571742626579937,-2.5761993290753398,0.2993932516189802
p05,development_rule,p05_e16,16,0.97813,-2.6164212623872576,0.5863745740286307,-1.029515720729743,0.5018574203961986
p05,final_oracle_rule,p05_e16,16,0.97813,-2.6164212623872576,0.5863745740286307,-1.029515720729743,0.5018574203961986

