run,rank_pair,spearman_rho,kendall_tau_a,n_checkpoints
p0,R_val__R_dev,0.009090909090909092,0.01818181818181818,11
p0,R_val__R_final,0.15454545454545454,0.05454545454545454,11
p0,R_dev__R_final,0.9727272727272729,0.8909090909090909,11
p01,R_val__R_dev,0.4000000000000001,0.34545454545454546,11
p01,R_val__R_final,0.690909090909091,0.5272727272727272,11
p01,R_dev__R_final,0.7727272727272727,0.6727272727272727,11
p05,R_val__R_dev,0.07142857142857142,0.047619047619047616,21
p05,R_val__R_final,0.01948051948051948,-0.009523809523809525,21
p05,R_dev__R_final,0.8844155844155844,0.8095238095238095,21

