lambda_pol,lambda_label,seed,run_name,m,rank,selected_epoch,count,frequency
0.5,lambda=0.5,42,exp5_p05_seed42,5,1,20,787,0.3935
0.5,lambda=0.5,42,exp5_p05_seed42,5,2,28,438,0.219
0.5,lambda=0.5,42,exp5_p05_seed42,5,3,22,306,0.153
0.5,lambda=0.5,42,exp5_p05_seed42,5,4,23,226,0.113
0.5,lambda=0.5,42,exp5_p05_seed42,5,5,21,121,0.0605
0.5,lambda=0.5,42,exp5_p05_seed42,5,6,25,50,0.025
0.5,lambda=0.5,42,exp5_p05_seed42,5,7,18,30,0.015
0.5,lambda=0.5,42,exp5_p05_seed42,5,8,9,17,0.0085
0.5,lambda=0.5,42,exp5_p05_seed42,5,9,3,11,0.0055
0.5,lambda=0.5,42,exp5_p05_seed42,5,10,13,8,0.004
0.5,lambda=0.5,42,exp5_p05_seed42,5,11,30,3,0.0015
0.5,lambda=0.5,42,exp5_p05_seed42,5,12,16,2,0.001
0.5,lambda=0.5,42,exp5_p05_seed42,5,13,8,1,0.0005
0.5,lambda=0.5,42,exp5_p05_seed42,10,1,20,884,0.442
0.5,lambda=0.5,42,exp5_p05_seed42,10,2,28,500,0.25
0.5,lambda=0.5,42,exp5_p05_seed42,10,3,22,295,0.1475
0.5,lambda=0.5,42,exp5_p05_seed42,10,4,23,191,0.0955
0.5,lambda=0.5,42,exp5_p05_seed42,10,5,21,99,0.0495
0.5,lambda=0.5,42,exp5_p05_seed42,10,6,25,16,0.008
0.5,lambda=0.5,42,exp5_p05_seed42,10,7,18,9,0.0045
0.5,lambda=0.5,42,exp5_p05_seed42,10,8,9,4,0.002
0.5,lambda=0.5,42,exp5_p05_seed42,10,9,30,2,0.001
0.5,lambda=0.5,42,exp5_p05_seed42,15,1,20,966,0.483
0.5,lambda=0.5,42,exp5_p05_seed42,15,2,28,494,0.247
0.5,lambda=0.5,42,exp5_p05_seed42,15,3,22,251,0.1255
0.5,lambda=0.5,42,exp5_p05_seed42,15,4,23,182,0.091
0.5,lambda=0.5,42,exp5_p05_seed42,15,5,21,97,0.0485
0.5,lambda=0.5,42,exp5_p05_seed42,15,6,18,5,0.0025
0.5,lambda=0.5,42,exp5_p05_seed42,15,7,25,4,0.002
0.5,lambda=0.5,42,exp5_p05_seed42,15,8,9,1,0.0005
0.5,lambda=0.5,42,exp5_p05_seed42,20,1,20,1056,0.528
0.5,lambda=0.5,42,exp5_p05_seed42,20,2,28,489,0.2445
0.5,lambda=0.5,42,exp5_p05_seed42,20,3,22,216,0.108
0.5,lambda=0.5,42,exp5_p05_seed42,20,4,23,160,0.08
0.5,lambda=0.5,42,exp5_p05_seed42,20,5,21,77,0.0385
0.5,lambda=0.5,42,exp5_p05_seed42,20,6,25,2,0.001
0.5,lambda=0.5,42,exp5_p05_seed42,25,1,20,1154,0.577
0.5,lambda=0.5,42,exp5_p05_seed42,25,2,28,451,0.2255
0.5,lambda=0.5,42,exp5_p05_seed42,25,3,22,175,0.0875
0.5,lambda=0.5,42,exp5_p05_seed42,25,4,23,160,0.08
0.5,lambda=0.5,42,exp5_p05_seed42,25,5,21,59,0.0295
0.5,lambda=0.5,42,exp5_p05_seed42,25,6,25,1,0.0005
0.5,lambda=0.5,43,exp5_p05_seed43,5,1,22,608,0.304
0.5,lambda=0.5,43,exp5_p05_seed43,5,2,21,272,0.136
0.5,lambda=0.5,43,exp5_p05_seed43,5,3,23,249,0.1245
0.5,lambda=0.5,43,exp5_p05_seed43,5,4,17,187,0.0935
0.5,lambda=0.5,43,exp5_p05_seed43,5,5,14,163,0.0815
0.5,lambda=0.5,43,exp5_p05_seed43,5,6,18,153,0.0765
0.5,lambda=0.5,43,exp5_p05_seed43,5,7,19,151,0.0755
0.5,lambda=0.5,43,exp5_p05_seed43,5,8,16,65,0.0325
0.5,lambda=0.5,43,exp5_p05_seed43,5,9,30,37,0.0185
0.5,lambda=0.5,43,exp5_p05_seed43,5,10,28,27,0.0135
0.5,lambda=0.5,43,exp5_p05_seed43,5,11,20,21,0.0105
0.5,lambda=0.5,43,exp5_p05_seed43,5,12,7,18,0.009
0.5,lambda=0.5,43,exp5_p05_seed43,5,13,3,15,0.0075
0.5,lambda=0.5,43,exp5_p05_seed43,5,14,27,15,0.0075
0.5,lambda=0.5,43,exp5_p05_seed43,5,15,6,12,0.006
0.5,lambda=0.5,43,exp5_p05_seed43,5,16,29,3,0.0015
0.5,lambda=0.5,43,exp5_p05_seed43,5,17,26,3,0.0015
0.5,lambda=0.5,43,exp5_p05_seed43,5,18,24,1,0.0005
0.5,lambda=0.5,43,exp5_p05_seed43,10,1,22,821,0.4105
0.5,lambda=0.5,43,exp5_p05_seed43,10,2,23,302,0.151
0.5,lambda=0.5,43,exp5_p05_seed43,10,3,21,279,0.1395
