run,scenario,m,rank,selected_method,selected_epoch,count,frequency
p0,event_bootstrap_25,25,1,p0_e06,6,1104,0.552
p0,event_bootstrap_25,25,2,p0_e08,8,887,0.4435
p0,event_bootstrap_25,25,3,p0_e03,3,6,0.003
p0,event_bootstrap_25,25,4,p0_e09,9,3,0.0015
p0,size_curve_stratified_bootstrap,5,1,p0_e06,6,918,0.459
p0,size_curve_stratified_bootstrap,5,2,p0_e08,8,671,0.3355
p0,size_curve_stratified_bootstrap,5,3,p0_e09,9,202,0.101
p0,size_curve_stratified_bootstrap,5,4,p0_e03,3,103,0.0515
p0,size_curve_stratified_bootstrap,5,5,p0_e02,2,91,0.0455
p0,size_curve_stratified_bootstrap,5,6,p0_e01,1,15,0.0075
p0,size_curve_stratified_bootstrap,10,1,p0_e06,6,1035,0.5175
p0,size_curve_stratified_bootstrap,10,2,p0_e08,8,837,0.4185
p0,size_curve_stratified_bootstrap,10,3,p0_e03,3,65,0.0325
p0,size_curve_stratified_bootstrap,10,4,p0_e09,9,39,0.0195
p0,size_curve_stratified_bootstrap,10,5,p0_e02,2,24,0.012
p0,size_curve_stratified_bootstrap,15,1,p0_e06,6,1084,0.542
p0,size_curve_stratified_bootstrap,15,2,p0_e08,8,871,0.4355
p0,size_curve_stratified_bootstrap,15,3,p0_e03,3,28,0.014
p0,size_curve_stratified_bootstrap,15,4,p0_e09,9,14,0.007
p0,size_curve_stratified_bootstrap,15,5,p0_e02,2,3,0.0015
p0,size_curve_stratified_bootstrap,20,1,p0_e06,6,1082,0.541
p0,size_curve_stratified_bootstrap,20,2,p0_e08,8,895,0.4475
p0,size_curve_stratified_bootstrap,20,3,p0_e03,3,12,0.006
p0,size_curve_stratified_bootstrap,20,4,p0_e09,9,9,0.0045
p0,size_curve_stratified_bootstrap,20,5,p0_e02,2,2,0.001
p0,size_curve_stratified_bootstrap,25,1,p0_e06,6,1098,0.549
p0,size_curve_stratified_bootstrap,25,2,p0_e08,8,894,0.447
p0,size_curve_stratified_bootstrap,25,3,p0_e03,3,7,0.0035
p0,size_curve_stratified_bootstrap,25,4,p0_e02,2,1,0.0005
p01,event_bootstrap_25,25,1,p01_e07,7,1986,0.993
p01,event_bootstrap_25,25,2,p01_e08,8,6,0.003
p01,event_bootstrap_25,25,3,p01_e02,2,5,0.0025
p01,event_bootstrap_25,25,4,p01_e06,6,3,0.0015
p01,size_curve_stratified_bootstrap,5,1,p01_e07,7,1563,0.7815
