run,m,oracle_regret_db_mean,oracle_regret_db_median,oracle_regret_db_q05,oracle_regret_db_q25,oracle_regret_db_q75,oracle_regret_db_q95,amp_ratio_regret_mean,amp_ratio_regret_median,amp_ratio_regret_q05,amp_ratio_regret_q25,amp_ratio_regret_q75,amp_ratio_regret_q95,full_selected_delta_db_mean,full_selected_delta_db_median,full_selected_delta_db_q05,full_selected_delta_db_q25,full_selected_delta_db_q75,full_selected_delta_db_q95,full_selected_amp_ratio_delta_mean,full_selected_amp_ratio_delta_median,full_selected_amp_ratio_delta_q05,full_selected_amp_ratio_delta_q25,full_selected_amp_ratio_delta_q75,full_selected_amp_ratio_delta_q95
p0,5,0.3503600554771866,0.3188252643148577,0.0,0.3188252643148577,0.42866396310717336,0.5235461364818537,0.008504523677894867,0.002948840406218123,0.0,0.0,0.002948840406218123,0.03762353416342862,0.031534791162329046,0.0,-0.3188252643148577,0.0,0.10983869879231573,0.20472087216699603,0.005555683271676743,0.0,-0.002948840406218123,-0.002948840406218123,0.0,0.034674693757210495
p0,10,0.3679683249758712,0.3188252643148577,0.3188252643148577,0.3188252643148577,0.42866396310717336,0.42866396310717336,0.003625510674978605,0.002948840406218123,0.0,0.0,0.002948840406218123,0.027390937370496193,0.04914306066101351,0.0,0.0,0.0,0.10983869879231573,0.10983869879231573,0.0006766702687604818,0.0,-0.002948840406218123,-0.002948840406218123,0.0,0.02444209696427807
p0,15,0.3670243143153507,0.3188252643148577,0.3188252643148577,0.3188252643148577,0.42866396310717336,0.42866396310717336,0.0023262686265487983,0.002948840406218123,0.0,0.0,0.002948840406218123,0.002948840406218123,0.04819905000049307,0.0,0.0,0.0,0.10983869879231573,0.10983869879231573,-0.0006225717796693239,0.0,-0.002948840406218123,-0.002948840406218123,0.0,0.0
p0,20,0.3677971058080021,0.3188252643148577,0.3188252643148577,0.3188252643148577,0.42866396310717336,0.42866396310717336,0.001961844810754649,0.002948840406218123,0.0,0.0,0.002948840406218123,0.002948840406218123,0.04897184149314456,0.0,0.0,0.0,0.10983869879231573,0.10983869879231573,-0.000986995595463474,0.0,-0.002948840406218123,-0.002948840406218123,0.0,0.0
p0,25,0.3686215781432371,0.3188252643148577,0.3188252643148577,0.3188252643148577,0.42866396310717336,0.42866396310717336,0.0017576814659804535,0.002948840406218123,0.0,0.0,0.002948840406218123,0.002948840406218123,0.049796313828379526,0.0,0.0,0.0,0.10983869879231573,0.10983869879231573,-0.0011911589402376693,0.0,-0.002948840406218123,-0.002948840406218123,0.0,0.0
p01,5,0.6510615406445197,0.6338978772286652,0.4776148942891593,0.6338978772286652,0.6338978772286652,0.9146094668526168,0.011299038405375486,0.0,0.0,0.0,0.0,0.043498406877886364,0.017163663415854537,0.0,-0.15628298293950582,0.0,0.0,0.2807115896239517,0.011299038405375486,0.0,0.0,0.0,0.0,0.043498406877886364
p01,10,0.639197367157472,0.6338978772286652,0.6338978772286652,0.6338978772286652,0.6338978772286652,0.6338978772286652,0.00373294340275969,0.0,0.0,0.0,0.0,0.03734389261354909,0.005299489928806755,0.0,0.0,0.0,0.0,0.0,0.00373294340275969,0.0,0.0,0.0,0.0,0.03734389261354909
p01,15,0.6361687391428331,0.6338978772286652,0.6338978772286652,0.6338978772286652,0.6338978772286652,0.6338978772286652,0.0017313173296513397,0.0,0.0,0.0,0.0,0.0,0.002270861914167992,0.0,0.0,0.0,0.0,0.0,0.0017313173296513397,0.0,0.0,0.0,0.0,0.0
p01,20,0.6349250531520977,0.6338978772286652,0.6338978772286652,0.6338978772286652,0.6338978772286652,0.6338978772286652,0.0008674389994606555,0.0,0.0,0.0,0.0,0.0,0.001027175923432385,0.0,0.0,0.0,0.0,0.0,0.0008674389994606555,0.0,0.0,0.0,0.0,0.0
p01,25,0.6340283127183582,0.6338978772286652,0.6338978772286652,0.6338978772286652,0.6338978772286652,0.6338978772286652,0.00035425780824487995,0.0,0.0,0.0,0.0,0.0,0.00013043548969308494,0.0,0.0,0.0,0.0,0.0,0.00035425780824487995,0.0,0.0,0.0,0.0,0.0
p05,5,1.189559834259436,1.2767887323436131,0.04049285588413187,1.0632611663003981,1.2767887323436131,1.6744093718241,0.033110777126812777,0.011402636870095906,0.0,0.0,0.09336326007350321,0.10879639787036616,-0.08722889808417716,0.0,-1.2362958764594811,-0.21352756604321488,0.0,0.39762063948048687,0.033110777126812777,0.011402636870095906,0.0,0.0,0.09336326007350321,0.10879639787036616
p05,10,1.2805459851125243,1.2767887323436131,1.0632611663003981,1.274428091099233,1.2767887323436131,1.6744093718241,0.02036921193652021,0.0,0.0,0.0,0.044113282024703604,0.09336326007350321,0.003757252768911111,0.0,-0.21352756604321488,-0.0023606412443801794,0.0,0.39762063948048687,0.02036921193652021,0.0,0.0,0.0,0.044113282024703604,0.09336326007350321
