run_name,lambda_pol,seed,epoch,gnorm_max,gnorm_mean,spike_count_gt10,nan_count,gamma_mean,gamma_max,gamma_global_max
exp5_p0_seed42,0.0,42,1,1.29,0.2,0,0,1.0164,1.0913,1.0925
exp5_p0_seed42,0.0,42,2,0.8,0.24,0,0,1.0253,1.1686,1.1686
exp5_p0_seed42,0.0,42,3,0.9,0.26,0,0,1.0314,1.2009,1.2009
exp5_p0_seed42,0.0,42,4,1.05,0.28,0,0,1.0381,1.2103,1.2103
exp5_p0_seed42,0.0,42,5,1.6,0.29,0,0,1.0472,1.225,1.225
exp5_p0_seed42,0.0,42,6,1.19,0.29,0,0,1.0619,1.2518,1.2518
exp5_p0_seed42,0.0,42,7,1.24,0.29,0,0,1.1353,1.3944,1.3944
exp5_p0_seed42,0.0,42,8,1.68,0.3,0,0,1.1963,1.487,1.487
exp5_p0_seed42,0.0,42,9,4.06,0.36,0,0,1.2661,1.5828,1.5828
exp5_p0_seed42,0.0,42,10,14.56,1.63,3,0,1.3439,1.6657,1.6657
exp5_p0_seed42,0.0,42,11,64.43,4.8,149,0,1.3949,1.7183,1.7183
exp5_p0_seed42,0.0,42,12,212.11,13.24,1644,0,1.4301,1.7543,1.7543
exp5_p0_seed42,0.0,42,13,960.95,111.58,2981,0,1.4534,1.7768,1.7768
exp5_p0_seed42,0.0,42,14,22822.99,638.38,3000,0,1.4723,1.795,1.795
exp5_p0_seed42,0.0,42,15,24620.37,2241.87,3000,0,1.4832,1.8051,1.8051
exp5_p0_seed42,0.0,42,16,91148.4,5636.71,3000,0,1.5022,1.8254,1.8254
exp5_p0_seed42,0.0,42,17,1323547.12,18362.84,3000,0,1.5206,1.8454,1.8454
exp5_p0_seed42,0.0,42,18,1031852.31,38739.76,3000,0,1.5323,1.856,1.856
exp5_p0_seed42,0.0,42,19,3110424.5,60078.24,3000,0,1.5401,1.8623,1.8623
exp5_p0_seed42,0.0,42,20,1924410.38,76502.28,3000,0,1.547,1.8687,1.8687
exp5_p0_seed43,0.0,43,1,0.95,0.2,0,0,1.021,1.1049,1.1049
exp5_p0_seed43,0.0,43,2,0.98,0.24,0,0,1.0312,1.1387,1.1387
exp5_p0_seed43,0.0,43,3,0.86,0.26,0,0,1.0377,1.1485,1.1729
exp5_p0_seed43,0.0,43,4,1.17,0.28,0,0,1.0444,1.1581,1.2172
exp5_p0_seed43,0.0,43,5,1.67,0.28,0,0,1.0523,1.167,1.2547
exp5_p0_seed43,0.0,43,6,1.28,0.28,0,0,1.0611,1.1852,1.2848
exp5_p0_seed43,0.0,43,7,1.28,0.29,0,0,1.0742,1.2215,1.308
exp5_p0_seed43,0.0,43,8,1.28,0.29,0,0,1.1007,1.2711,1.3259
exp5_p0_seed43,0.0,43,9,1.26,0.29,0,0,1.2082,1.4306,1.4306
exp5_p0_seed43,0.0,43,10,2.9,0.43,0,0,1.3039,1.5362,1.5362
exp5_p0_seed43,0.0,43,11,20.37,1.71,8,0,1.4113,1.6506,1.6506
exp5_p0_seed43,0.0,43,12,34.41,5.1,195,0,1.5412,1.7705,1.7705
exp5_p0_seed43,0.0,43,13,53.52,3.05,105,0,1.7151,1.9419,1.9419
exp5_p0_seed43,0.0,43,14,99.63,2.32,68,0,1.849,2.0726,2.0726
exp5_p0_seed43,0.0,43,15,12.56,1.53,3,0,1.9443,2.1667,2.1667
exp5_p0_seed44,0.0,44,1,3.42,0.2,0,0,1.0163,1.0598,1.0638
exp5_p0_seed44,0.0,44,2,0.74,0.24,0,0,1.0262,1.1479,1.1479
exp5_p0_seed44,0.0,44,3,0.92,0.28,0,0,1.0323,1.1694,1.1694
exp5_p0_seed44,0.0,44,4,1.27,0.29,0,0,1.0405,1.1863,1.1863
exp5_p0_seed44,0.0,44,5,0.97,0.29,0,0,1.0512,1.2089,1.2089
exp5_p0_seed44,0.0,44,6,1.22,0.29,0,0,1.0703,1.2505,1.2505
exp5_p0_seed44,0.0,44,7,1.51,0.29,0,0,1.151,1.3924,1.3924
exp5_p0_seed44,0.0,44,8,1.39,0.29,0,0,1.1939,1.4513,1.4513
exp5_p0_seed44,0.0,44,9,2.12,0.31,0,0,1.2807,1.5713,1.5713
exp5_p0_seed44,0.0,44,10,58.52,1.92,15,0,1.475,1.7548,1.7548
exp5_p0_seed44,0.0,44,11,57.95,3.18,107,0,1.6684,1.9309,1.9309
exp5_p0_seed44,0.0,44,12,142.14,2.56,160,0,1.7855,2.0435,2.0435
exp5_p0_seed44,0.0,44,13,635.67,37.35,2837,0,1.8065,2.0637,2.0637
exp5_p0_seed44,0.0,44,14,1305.26,35.64,2929,0,1.8713,2.126,2.126
exp5_p05_seed42,0.5,42,1,1.34,0.22,0,0,1.0045,1.0568,1.0741
exp5_p05_seed42,0.5,42,2,0.87,0.22,0,0,1.007,1.0695,1.0914
exp5_p05_seed42,0.5,42,3,0.98,0.26,0,0,1.0101,1.0824,1.145
exp5_p05_seed42,0.5,42,4,0.9,0.3,0,0,1.0174,1.1047,1.1881
exp5_p05_seed42,0.5,42,5,1.01,0.33,0,0,1.0237,1.1156,1.2314
exp5_p05_seed42,0.5,42,6,1.14,0.35,0,0,1.0296,1.1302,1.2982
exp5_p05_seed42,0.5,42,7,1.45,0.35,0,0,1.0341,1.1462,1.3577
exp5_p05_seed42,0.5,42,8,1.14,0.35,0,0,1.0383,1.1578,1.4065
exp5_p05_seed42,0.5,42,9,1.36,0.35,0,0,1.0425,1.1652,1.4417
exp5_p05_seed42,0.5,42,10,2.22,0.36,0,0,1.0461,1.1713,1.4702
exp5_p05_seed42,0.5,42,11,1.73,0.36,0,0,1.0497,1.1749,1.5008
exp5_p05_seed42,0.5,42,12,1.81,0.36,0,0,1.0534,1.181,1.5343
exp5_p05_seed42,0.5,42,13,2.12,0.35,0,0,1.0566,1.2109,1.5609
