"run_name","lambda_pol","seed","epoch","gnorm_max","gnorm_mean","spike_count_gt10","nan_count","gamma_mean","gamma_max","gamma_global_max"
"exp5_p0_seed42","0.0","42","1","1.29","0.2","0","0","1.0164","1.0913","1.0925"
"exp5_p0_seed42","0.0","42","2","0.8","0.24","0","0","1.0253","1.1686","1.1686"
"exp5_p0_seed42","0.0","42","3","0.9","0.26","0","0","1.0314","1.2009","1.2009"
"exp5_p0_seed42","0.0","42","4","1.05","0.28","0","0","1.0381","1.2103","1.2103"
"exp5_p0_seed42","0.0","42","5","1.6","0.29","0","0","1.0472","1.225","1.225"
"exp5_p0_seed42","0.0","42","6","1.19","0.29","0","0","1.0619","1.2518","1.2518"
"exp5_p0_seed42","0.0","42","7","1.24","0.29","0","0","1.1353","1.3944","1.3944"
"exp5_p0_seed42","0.0","42","8","1.68","0.3","0","0","1.1963","1.487","1.487"
"exp5_p0_seed42","0.0","42","9","4.06","0.36","0","0","1.2661","1.5828","1.5828"
"exp5_p0_seed42","0.0","42","10","14.56","1.63","3","0","1.3439","1.6657","1.6657"
"exp5_p0_seed42","0.0","42","11","64.43","4.8","149","0","1.3949","1.7183","1.7183"
"exp5_p0_seed42","0.0","42","12","212.11","13.24","1644","0","1.4301","1.7543","1.7543"
"exp5_p0_seed42","0.0","42","13","960.95","111.58","2981","0","1.4534","1.7768","1.7768"
"exp5_p0_seed42","0.0","42","14","22822.99","638.38","3000","0","1.4723","1.795","1.795"
"exp5_p0_seed42","0.0","42","15","24620.37","2241.87","3000","0","1.4832","1.8051","1.8051"
"exp5_p0_seed42","0.0","42","16","91148.4","5636.71","3000","0","1.5022","1.8254","1.8254"
"exp5_p0_seed42","0.0","42","17","1323547.12","18362.84","3000","0","1.5206","1.8454","1.8454"
"exp5_p0_seed42","0.0","42","18","1031852.31","38739.76","3000","0","1.5323","1.856","1.856"
"exp5_p0_seed42","0.0","42","19","3110424.5","60078.24","3000","0","1.5401","1.8623","1.8623"
"exp5_p0_seed42","0.0","42","20","1924410.38","76502.28","3000","0","1.547","1.8687","1.8687"
